"Metabolite","Timepoint","BPD_HC","BPD_No+Mild","BPD_M+S"
"1-Methylnicotinamide","6M","0.036133","0.046262","0.056674"
"1-Methylnicotinamide","2Y","0.011071","0.012004","0.017142"
"Trigonelline","6M","0.008718","0.009767","0.009107"
"Trigonelline","2Y","0.008389","0.009529","0.006702"
"Formate","6M","0.100448","0.083375","0.077596"
"Formate","2Y","0.048256","0.041289","0.039785"
"Histidine","6M","0.028721","0.029582","0.025862"
"Histidine","2Y","0.00992","0.015349","0.004505"
"Hippurate","6M","0.094541","0.103112","0.139686"
"Hippurate","2Y","0.165407","0.163458","0.255289"
"Indoxyl sulfate","6M","0.031462","0.038396","0.049967"
"Indoxyl sulfate","2Y","0.02651","0.035633","0.042432"
"N-Phenylacetylglycine","6M","0.159689","0.208299","0.266277"
"N-Phenylacetylglycine","2Y","0.162452","0.213558","0.281179"
"Tyrosine","6M","0.079647","0.084447","0.09171"
"Tyrosine","2Y","0.044193","0.04002","0.04557"
"4-Hydroxyphenylacetate","6M","0.096333","0.114006","0.152412"
"4-Hydroxyphenylacetate","2Y","0.059686","0.057068","0.062524"
"trans-Aconitate","6M","0.022369","0.030457","0.031412"
"trans-Aconitate","2Y","0.002371","0.001502","0.001998"
"Sucrose","6M","0.01806","0.026342","0.025812"
"Sucrose","2Y","0.002726","0.002445","0.001633"
"Maltose","6M","0.028621","0.041111","0.044522"
"Maltose","2Y","0.022194","0.018723","0.030037"
"Galactose","6M","0.092223","0.111356","0.106741"
"Galactose","2Y","0.031605","0.02931","0.045398"
"Gluconate","6M","0.141826","0.132124","0.207228"
"Gluconate","2Y","0.065693","0.063338","0.079863"
"Creatine phosphate","6M","0.083896","0.090637","0.10515"
"Creatine phosphate","2Y","0.090691","0.092648","0.100594"
"Guanidoacetate","6M","0.240532","0.250934","0.252466"
"Guanidoacetate","2Y","0.1544","0.149849","0.308264"
"Ascorbate","6M","0.1238","0.118446","0.151996"
"Ascorbate","2Y","0.102971","0.102051","0.112408"
"Glycine","6M","0.379095","0.327116","0.353436"
"Glycine","2Y","0.267232","0.180305","0.205703"
"Taurine","6M","0.541185","0.481805","0.621909"
"Taurine","2Y","0.293941","0.289233","0.367113"
"3-Aminoisobutyric acid","6M","0.080904","0.097422","0.095144"
"3-Aminoisobutyric acid","2Y","0.062576","0.063526","0.056989"
"Creatine","6M","0.814769","0.908412","1.063119"
"Creatine","2Y","1.512651","1.29347","1.55745"
"N,N-Dimethylglycine","6M","0.231599","0.216034","0.195706"
"N,N-Dimethylglycine","2Y","0.094295","0.098477","0.091641"
"Trimethylamine","6M","0.04844","0.038878","0.051946"
"Trimethylamine","2Y","0.038212","0.037091","0.040828"
"Methylguanidine","6M","0.143295","0.134025","0.154518"
"Methylguanidine","2Y","0.114235","0.113183","0.117068"
"Dimethylamine","6M","0.358966","0.341929","0.379212"
"Dimethylamine","2Y","0.227494","0.245285","0.249686"
"Citrate","6M","0.879996","0.792201","1.01342"
"Citrate","2Y","0.342489","0.307427","0.424419"
"Glutamine","6M","0.436588","0.420952","0.506541"
"Glutamine","2Y","0.245286","0.24289","0.295645"
"Succinate","6M","0.266666","0.288645","0.326316"
"Succinate","2Y","0.125423","0.133036","0.191249"
"Acetylsalicylate","6M","0.182288","0.194738","0.250989"
"Acetylsalicylate","2Y","0.171627","0.209738","0.26212"
"Citramalic acid","6M","0.167443","0.141451","0.173775"
"Citramalic acid","2Y","0.093689","0.087999","0.127343"
"N-Acetylaspartate","6M","0.167819","0.162436","0.18794"
"N-Acetylaspartate","2Y","0.104406","0.108841","0.112454"
"N6-Acetyllysine","6M","0.067509","0.056271","0.067943"
"N6-Acetyllysine","2Y","0.039183","0.045844","0.053117"
"Acetate","6M","0.200838","0.212208","0.307979"
"Acetate","2Y","0.126425","0.123646","0.161077"
"Lysine","6M","0.430506","0.387261","0.466557"
"Lysine","2Y","0.331809","0.308278","0.34081"
"Alanine","6M","0.2037","0.205794","0.199336"
"Alanine","2Y","0.12365","0.111185","0.133777"
"2-Hydroxyisobutyrate","6M","0.121788","0.125329","0.156736"
"2-Hydroxyisobutyrate","2Y","0.09952","0.099653","0.104729"
"Lactate","6M","0.146692","0.148787","0.183281"
"Lactate","2Y","0.090092","0.08164","0.098428"
"3-Hydroxy-3-methylglutarate","6M","0.15995","0.152442","0.194157"
"3-Hydroxy-3-methylglutarate","2Y","0.082814","0.075316","0.089876"
"3-Hydroxyisovalerate","6M","0.176198","0.179307","0.223451"
"3-Hydroxyisovalerate","2Y","0.151926","0.138645","0.150523"
"Fucose","6M","0.06669","0.067217","0.07794"
"Fucose","2Y","0.052175","0.051788","0.056535"
"3-Aminoisobutyrate","6M","0.492773","0.584041","0.517192"
"3-Aminoisobutyrate","2Y","0.454469","0.42382","0.667178"
"Propylene glycol","6M","0.082919","0.027059","0.03299"
"Propylene glycol","2Y","0.029569","0.018076","0.023323"
"3-Methyl-2-oxovalerate","6M","0.05261","0.055151","0.087526"
"3-Methyl-2-oxovalerate","2Y","0.05795","0.051925","0.068049"
"3-Hydroxyisobutyrate","6M","0.079184","0.081669","0.10225"
"3-Hydroxyisobutyrate","2Y","0.069374","0.062865","0.070255"
"2-Methylglutarate","6M","0.009676","0.01032","0.012045"
"2-Methylglutarate","2Y","0.008736","0.008713","0.008922"
"Valine","6M","0.0107","0.01237","0.012819"
"Valine","2Y","0.009012","0.008621","0.008351"
"2-Aminobutyrate","6M","0.061769","0.055875","0.068176"
"2-Aminobutyrate","2Y","0.033202","0.032355","0.037902"
"Pantothenic acid","6M","0.095574","0.098326","0.118348"
"Pantothenic acid","2Y","0.053434","0.056831","0.068378"
