"Metabolite","Timepoint","GA_>=37wk","GA_28-32wk","GA_<28wk"
"1-Methylnicotinamide","6M","0.036133","0.049251","0.055206"
"1-Methylnicotinamide","2Y","0.011071","0.015954","0.014108"
"Trigonelline","6M","0.008718","0.009043","0.009826"
"Trigonelline","2Y","0.008389","0.008266","0.007485"
"Formate","6M","0.100448","0.083145","0.076738"
"Formate","2Y","0.048256","0.036661","0.044054"
"Histidine","6M","0.028721","0.027412","0.027676"
"Histidine","2Y","0.00992","0.010316","0.007693"
"Hippurate","6M","0.094541","0.108984","0.139948"
"Hippurate","2Y","0.165407","0.156252","0.276804"
"Indoxyl sulfate","6M","0.031462","0.040815","0.049392"
"Indoxyl sulfate","2Y","0.02651","0.033157","0.045917"
"N-Phenylacetylglycine","6M","0.159689","0.205507","0.280858"
"N-Phenylacetylglycine","2Y","0.162452","0.210441","0.29489"
"Tyrosine","6M","0.079647","0.083374","0.094384"
"Tyrosine","2Y","0.044193","0.03659","0.049787"
"4-Hydroxyphenylacetate","6M","0.096333","0.122795","0.149615"
"4-Hydroxyphenylacetate","2Y","0.059686","0.053104","0.067245"
"trans-Aconitate","6M","0.022369","0.029268","0.03299"
"trans-Aconitate","2Y","0.002371","0.001379","0.002196"
"Sucrose","6M","0.01806","0.023988","0.028464"
"Sucrose","2Y","0.002726","0.002215","0.001729"
"Maltose","6M","0.028621","0.039688","0.046853"
"Maltose","2Y","0.022194","0.020113","0.03047"
"Galactose","6M","0.092223","0.108149","0.109595"
"Galactose","2Y","0.031605","0.039097","0.038409"
"Gluconate","6M","0.141826","0.141647","0.210733"
"Gluconate","2Y","0.065693","0.066089","0.079794"
"Creatine phosphate","6M","0.083896","0.087341","0.11184"
"Creatine phosphate","2Y","0.090691","0.085529","0.108779"
"Guanidoacetate","6M","0.240532","0.24888","0.255169"
"Guanidoacetate","2Y","0.1544","0.320695","0.166927"
"Ascorbate","6M","0.1238","0.124448","0.151516"
"Ascorbate","2Y","0.102971","0.105445","0.110738"
"Glycine","6M","0.379095","0.342343","0.340745"
"Glycine","2Y","0.267232","0.165228","0.224393"
"Taurine","6M","0.541185","0.507098","0.619635"
"Taurine","2Y","0.293941","0.280159","0.388245"
"3-Aminoisobutyric acid","6M","0.080904","0.101","0.09051"
"3-Aminoisobutyric acid","2Y","0.062576","0.063869","0.055624"
"Creatine","6M","0.814769","0.901771","1.101081"
"Creatine","2Y","1.512651","1.264591","1.62725"
