"Metabolite","VIP_comp1","FC_comp1","P_comp1","VIP_comp2","FC_comp2","P_comp2","VIP_comp3","FC_comp3","P_comp3"
"Indoxyl sulfate",1.63,1.51,"<0.001",1.38,1.33,"0.006",0.9,1.13,"0.142"
"N-Phenylacetylglycine",2.24,1.6,"<0.001",1.24,1.24,"0.004",2.21,1.29,"0.014"
"4-Hydroxyphenylacetate",1.65,1.41,"<0.001",0.9,1.16,"0.103",1.67,1.21,"0.030"
"N,N-Dimethylglycine",1.76,0.68,"<0.001",1.25,0.8,"0.011",1.33,0.85,"0.160"
"3-Hydroxy-3-methylglutarate",0.87,0.86,"<0.001",0.03,1,"0.558",1.63,0.86,"0.017"
"Maltose",1.5,1.68,"0.003",2.16,1.85,"0.112",0.5,0.91,"0.142"
"3-Methyl-2-oxovalerate",1.5,1.35,"0.004",1.24,1.22,"0.045",0.88,1.1,"0.466"
"Hippurate",1.13,1.33,"0.006",0.52,1.12,"0.325",1.28,1.2,"0.168"
"Citramalic acid",0.98,0.86,"0.010",0.78,0.9,"0.074",0.6,0.95,"0.313"
"Formate",1.2,0.73,"0.011",0.94,0.82,"0.124",0.79,0.89,"0.329"
"Glycine",1.08,0.8,"0.011",1.09,0.83,"0.042",0.33,0.96,"0.970"
"1-Methylnicotinamide",1.03,1.32,"0.022",0.84,1.2,"0.065",0.62,1.1,"0.654"
"Acetylsalicylate",0.8,1.16,"0.025",0.52,1.08,"0.318",0.67,1.07,"0.290"
"Sucrose",1.79,2.26,"0.027",2.09,2.19,"0.029",0.13,1.03,"0.866"
"Creatine",1.47,1.43,"0.027",0.96,1.21,"0.202",1.24,1.18,"0.247"
"Trigonelline",0.9,1.32,"0.030",0.98,1.28,"0.049",0.17,1.03,"0.802"
"2-Aminobutyrate",0.79,0.88,"0.036",0.31,0.96,"0.328",0.97,0.92,"0.290"
"Trimethylamine",1,0.86,"0.038",1,0.88,"0.020",0.33,0.97,"0.834"
"Propylene glycol",3.03,0.17,"0.041",3.45,0.19,"0.038",0.35,0.89,"0.905"
"trans-Aconitate",1.4,1.88,"0.089",1.76,1.92,"0.028",0.09,0.98,"0.776"
"Lactate",0.33,0.95,"0.198",0.49,1.06,"0.263",1.33,0.89,"0.031"
