"Metabolite","VIP_comp1","FC_comp1","P_comp1","VIP_comp2","FC_comp2","P_comp2","VIP_comp3","FC_comp3","P_comp3"
"Indoxyl sulfate",1.76,1.66,"<0.001",1.47,1.37,"0.014",1.22,1.21,"0.086"
"N-Phenylacetylglycine",2.41,1.76,"<0.001",1.4,1.28,"0.005",2.53,1.38,"0.004"
"4-Hydroxyphenylacetate",1.76,1.54,"<0.001",0.98,1.2,"0.140",1.9,1.29,"0.015"
"Maltose",1.6,1.83,"<0.001",2.23,1.88,"0.024",0.13,0.97,"0.061"
"1-Methylnicotinamide",1.18,1.45,"0.002",0.92,1.24,"0.020",0.92,1.17,"0.476"
"Trigonelline",1.11,1.45,"0.002",1.11,1.32,"0.010",0.52,1.1,"0.487"
"Acetylsalicylate",1.12,1.27,"0.003",0.68,1.12,"0.086",1.14,1.14,"0.192"
"3-Methyl-2-oxovalerate",1.7,1.48,"0.003",1.35,1.26,"0.055",1.29,1.17,"0.294"
"Hippurate",1.41,1.46,"0.004",0.68,1.15,"0.180",1.66,1.28,"0.042"
"N,N-Dimethylglycine",1.11,0.75,"0.004",1,0.82,"0.052",0.67,0.91,"0.279"
"Creatine",1.65,1.57,"0.008",1.08,1.25,"0.146",1.56,1.26,"0.222"
"Sucrose",1.82,2.48,"0.010",2.17,2.25,"0.022",0.36,1.1,"0.573"
"Creatine phosphate",0.44,1.18,"0.010",0.59,0.85,"0.497",1.62,1.38,"0.048"
"Tyrosine",0.8,1.2,"0.017",0.24,1.04,"0.424",1.16,1.15,"0.094"
"2-Hydroxyisobutyrate",0.76,1.14,"0.023",0.8,1.11,"0.098",0.31,1.03,"0.534"
"trans-Aconitate",1.45,2.06,"0.034",1.83,1.98,"0.019",0.15,1.04,"0.938"
"Valine",0.88,1.21,"0.042",0.56,1.1,"0.428",0.85,1.11,"0.184"
"Propylene glycol",2.75,0.17,"0.043",3.33,0.2,"0.055",0.48,0.85,"0.808"
