"Metabolite","VIP_comp1","FC_comp1","P_comp1","VIP_comp2","FC_comp2","P_comp2","VIP_comp3","FC_comp3","P_comp3"
"Indoxyl sulfate",1.69,1.95,"<0.001",1.51,1.48,"0.022",1.32,1.32,"0.186"
"N-Phenylacetylglycine",1.92,2.07,"<0.001",1.29,1.38,"0.062",2.02,1.5,"0.038"
"4-Hydroxyphenylacetate",1.67,1.81,"<0.001",1.09,1.29,"0.072",1.79,1.4,"0.119"
"Trigonelline",1.21,1.7,"0.002",1.22,1.42,"0.064",0.77,1.2,"0.418"
"Sucrose",1.7,2.87,"0.002",2.15,2.38,"0.025",0.56,1.2,"0.408"
"1-Methylnicotinamide",1.44,1.7,"0.003",1.2,1.33,"0.079",1.24,1.27,"0.222"
"Hippurate",1.36,1.72,"0.003",0.81,1.24,"0.311",1.56,1.39,"0.061"
"Maltose",1.54,2.12,"0.004",2.09,1.95,"0.131",0.32,1.09,"0.247"
"3-Methyl-2-oxovalerate",1.5,1.73,"0.004",1.27,1.36,"0.119",1.26,1.28,"0.178"
"Creatine",1.51,1.84,"0.006",1.12,1.34,"0.380",1.48,1.37,"0.119"
"trans-Aconitate",1.39,2.33,"0.008",1.8,2.05,"0.064",0.4,1.14,"0.482"
"Tyrosine",1.05,1.41,"0.023",0.53,1.12,"0.354",1.32,1.26,"0.218"
"Gluconate",0.93,1.37,"0.023",0.3,1.07,"0.714",1.39,1.28,"0.140"
"Acetylsalicylate",1.11,1.5,"0.023",0.77,1.2,"0.332",1.14,1.25,"0.258"
"Valine",1.08,1.42,"0.025",0.77,1.18,"0.336",1.08,1.21,"0.268"
"Propylene glycol",2.22,0.17,"0.039",3.31,0.18,"0.031",0.1,0.96,"0.982"
"Creatine phosphate",0.69,1.42,"0.044",0.22,0.93,"0.548",1.57,1.53,"0.254"
