"Metabolite","VIP_comp1","FC_comp1","P_comp1","VIP_comp2","FC_comp2","P_comp2","VIP_comp3","FC_comp3","P_comp3"
"Sucrose",2.74,0.31,"0.005",4.31,0.16,"0.002",2.01,1.99,"0.354"
"N-Phenylacetylglycine",1.93,1.47,"0.006",1.16,1.26,"0.084",0.96,1.16,"0.246"
"Indoxyl sulfate",2.29,1.73,"0.009",0.46,1.12,"0.725",2.29,1.55,"0.032"
"Valine",1.35,0.8,"0.016",0.73,0.89,"0.208",0.78,0.9,"0.306"
"Formate",1.22,0.74,"0.034",1.86,0.63,"0.015",0.82,1.17,"0.660"
"Glycine",1.47,0.76,"0.048",2.27,0.65,"<0.001",1.01,1.17,"0.180"
"3-Aminoisobutyric acid",1.24,0.81,"0.096",0.37,1.06,"0.155",2.02,0.76,"<0.001"
"Lysine",0.89,0.88,"0.104",0.04,0.99,"0.947",1.07,0.89,"0.029"
"Acetylsalicylate",0.92,1.18,"0.199",1.74,1.36,"0.007",1.04,0.86,"0.225"
"N-Acetylaspartate",0.45,0.94,"0.360",0.55,1.08,"0.090",1.26,0.88,"0.015"
"Alanine",0.38,1.07,"0.475",0.71,0.88,"0.100",1.36,1.23,"0.007"
"1-Methylnicotinamide",0.38,1.1,"0.565",1.45,1.45,"0.033",1.36,0.76,"0.187"
"N6-Acetyllysine",0.57,0.87,"0.656",1.14,1.32,"0.020",2.15,0.66,"0.057"
"Tyrosine",0.28,0.95,"0.678",1,0.84,"0.033",0.9,1.13,"0.137"
"Pantothenic acid",0.22,1.03,"0.972",0.76,1.12,"0.007",0.68,0.92,"0.079"
