"Metabolite","VIP_comp1","FC_comp1","P_comp1","VIP_comp2","FC_comp2","P_comp2","VIP_comp3","FC_comp3","P_comp3"
"Indoxyl sulfate",2.72,1.99,"<0.001",0.37,1.09,"0.607",2.66,1.82,"0.005"
"N-Phenylacetylglycine",2.54,1.69,"<0.001",1.09,1.23,"0.104",1.72,1.37,"0.029"
"Glutamine",0.98,1.19,"0.005",0.08,1.01,"0.803",1.01,1.17,"0.001"
"Pantothenic acid",0.95,1.19,"0.006",0.53,1.09,"0.315",0.52,1.09,"0.099"
"Succinate",1.25,1.29,"0.008",0.51,1.1,"0.201",0.87,1.17,"0.148"
"Gluconate",0.89,1.2,"0.011",0.02,1,"0.988",0.97,1.2,"0.006"
"Creatine phosphate",0.4,1.14,"0.023",0.3,1.1,"0.923",0.14,1.04,"0.014"
"N-Acetylaspartate",0.5,1.08,"0.024",0.33,1.05,"0.243",0.22,1.03,"0.297"
"Sucrose",2.31,0.36,"0.029",4.3,0.18,"0.002",1.86,2.07,"0.258"
"Taurine",1.51,1.41,"0.036",0.05,0.99,"0.650",1.73,1.43,"0.009"
"3-Methyl-2-oxovalerate",1.02,1.23,"0.036",0,1,"0.764",1.15,1.23,"0.044"
"Acetylsalicylate",1.59,1.35,"0.039",1.63,1.33,"0.018",0.09,1.02,"0.886"
"Alanine",0.98,1.23,"0.049",0.8,0.85,"0.024",1.93,1.45,"<0.001"
"Lactate",0.45,1.09,"0.138",0.49,0.92,"0.204",1.01,1.19,"0.006"
"Formate",0.6,0.85,"0.398",1.97,0.62,"0.028",1.36,1.38,"0.187"
"Glycine",0.66,0.87,"0.415",2.31,0.63,"<0.001",1.66,1.37,"0.006"
"Tyrosine",0.44,1.09,"0.559",1.08,0.82,"0.022",1.6,1.34,"0.005"
