"Metabolite","VIP_comp1","FC_comp1","P_comp1","VIP_comp2","FC_comp2","P_comp2","VIP_comp3","FC_comp3","P_comp3"
"N-Phenylacetylglycine",1.94,1.45,"<0.001",1.51,1.33,"<0.001",0.75,1.09,"0.366"
"4-Hydroxyphenylacetate",1.57,1.34,"<0.001",0.92,1.19,"0.054",1.12,1.13,"0.197"
"N,N-Dimethylglycine",2.09,0.66,"<0.001",0.8,0.85,"0.056",2.21,0.77,"0.045"
"3-Methyl-2-oxovalerate",1.9,1.41,"0.001",0.72,1.14,"0.134",2.02,1.24,"0.112"
"Indoxyl sulfate",1.57,1.43,"0.002",1.42,1.39,"0.001",0.25,1.03,"0.476"
"Formate",1.43,0.72,"0.007",0.64,0.86,"0.228",1.35,0.83,"0.218"
"Glycine",1.19,0.8,"0.015",0.96,0.84,"0.035",0.4,0.96,"0.984"
"1-Methylnicotinamide",1.09,1.3,"0.016",0.75,1.2,"0.102",0.6,1.09,"0.629"
"Acetylsalicylate",0.85,1.16,"0.024",0.43,1.08,"0.429",0.72,1.07,"0.316"
"Maltose",1.51,1.6,"0.031",2.2,1.99,"0.020",1.17,0.81,"0.701"
"Methylguanidine",0.51,0.94,"0.042",0.41,0.95,"0.128",0.17,0.99,"0.840"
"3-Hydroxy-3-methylglutarate",0.38,0.94,"0.044",0.49,0.93,"0.070",0.18,1.02,"0.770"
"Dimethylamine",0.77,0.8,"0.046",0.8,0.79,"0.529",0.05,1.01,"0.558"
"Propylene glycol",3.16,0.18,"0.048",3.32,0.17,"0.031",0.26,1.08,"0.877"
"Citramalic acid",0.73,0.9,"0.058",1.07,0.86,"0.013",0.57,1.05,"0.624"
"Trigonelline",0.57,1.17,"0.110",1.39,1.47,"0.009",1.4,0.8,"0.221"
"Trimethylamine",0.6,0.92,"0.171",1.48,0.81,"0.001",1.49,1.13,"0.055"
"trans-Aconitate",1.37,1.75,"0.217",1.82,2.11,"0.005",0.77,0.83,"0.134"
"Sucrose",1.67,1.99,"0.253",2.27,2.55,"<0.001",1.03,0.78,"0.049"
