"Metabolite","VIP_comp1","FC_comp1","P_comp1","VIP_comp2","FC_comp2","P_comp2","VIP_comp3","FC_comp3","P_comp3"
"1-Methylnicotinamide",1.26,1.49,"<0.001",0.61,1.16,"0.070",1.01,1.28,"0.191"
"Indoxyl sulfate",1.69,1.64,"<0.001",1.3,1.34,"0.017",0.87,1.22,"0.110"
"N-Phenylacetylglycine",2.12,1.66,"<0.001",1.38,1.29,"0.007",1.34,1.28,"0.044"
"4-Hydroxyphenylacetate",1.71,1.53,"<0.001",0.72,1.15,"0.213",1.47,1.33,"0.011"
"Maltose",1.56,1.82,"<0.001",2.16,1.91,"0.020",0.15,0.95,"0.243"
"Acetylsalicylate",1.27,1.32,"<0.001",0.24,1.04,"0.308",1.39,1.27,"0.020"
"3-Methyl-2-oxovalerate",2.04,1.61,"<0.001",0.54,1.1,"0.297",2.08,1.46,"0.008"
"2-Hydroxyisobutyrate",1.11,1.21,"0.002",0.15,1.02,"0.545",1.27,1.19,"0.012"
"N,N-Dimethylglycine",1.06,0.75,"0.003",0.92,0.83,"0.084",0.44,0.91,"0.481"
"Pantothenic acid",0.9,1.21,"0.006",0.02,1,"0.589",1.13,1.2,"0.047"
"Trigonelline",0.86,1.34,"0.007",1.35,1.43,"0.003",0.24,0.94,"0.789"
"Hippurate",1.26,1.41,"0.007",0.62,1.14,"0.174",0.99,1.24,"0.100"
"Creatine",1.47,1.5,"0.012",1.07,1.26,"0.150",0.82,1.19,"0.282"
"Acetate",0.99,1.26,"0.012",0.26,0.95,"0.830",1.52,1.31,"0.019"
"trans-Aconitate",1.37,2,"0.028",1.82,2.04,"0.022",0.05,0.98,"0.789"
"3-Aminoisobutyric acid",0.75,1.17,"0.028",0.73,1.13,"0.348",0.23,1.04,"0.337"
"Tyrosine",0.64,1.16,"0.032",0.3,1.06,"0.392",0.53,1.1,"0.250"
"Gluconate",0.77,1.2,"0.033",0.42,0.92,"0.712",1.41,1.3,"0.015"
"Valine",0.91,1.22,"0.034",0.35,1.06,"0.606",0.81,1.15,"0.124"
"Sucrose",1.61,2.26,"0.040",2.29,2.46,"0.004",0.21,0.92,"0.450"
"N6-Acetyllysine",0.65,1.2,"0.043",0.12,1.03,"0.519",0.72,1.17,"0.162"
"Creatine phosphate",0.08,0.97,"0.048",0.02,1.01,"0.277",0.12,0.97,"0.278"
"Dimethylamine",0.28,0.9,"0.052",0.87,0.79,"0.786",0.5,1.15,"0.038"
"Propylene glycol",2.51,0.19,"0.057",3.42,0.18,"0.041",0.18,1.1,"0.856"
"Glutamine",0.56,1.12,"0.060",0.46,0.93,"0.344",1.17,1.21,"0.021"
"Lysine",0.5,1.1,"0.064",0.61,0.92,"0.378",1.25,1.2,"0.009"
"3-Hydroxyisobutyrate",0.85,1.19,"0.111",0.08,0.99,"0.519",1.16,1.2,"0.037"
"Methylguanidine",0.42,1.07,"0.167",0.66,0.92,"0.237",1.19,1.16,"0.019"
"Citramalic acid",0.14,1.03,"0.452",1.11,0.83,"0.030",1.28,1.24,"0.012"
"Trimethylamine",0.27,1.05,"0.513",1.72,0.79,"<0.001",2.06,1.33,"<0.001"
"Glycine",0.34,0.92,"0.637",1.08,0.81,"0.047",0.63,1.13,"0.175"
