"Metabolite","VIP_comp1","FC_comp1","P_comp1","VIP_comp2","FC_comp2","P_comp2","VIP_comp3","FC_comp3","P_comp3"
"Indoxyl sulfate",1.66,1.83,"0.001",1.52,1.51,"0.018",0.98,1.21,"0.194"
"N-Phenylacetylglycine",1.76,1.85,"0.001",1.43,1.45,"0.020",1.28,1.27,"0.247"
"4-Hydroxyphenylacetate",1.63,1.71,"0.001",1.05,1.29,"0.067",1.58,1.32,"0.155"
"3-Methyl-2-oxovalerate",1.72,1.79,"0.002",0.85,1.24,"0.247",2.02,1.45,"0.069"
"1-Methylnicotinamide",1.5,1.66,"0.005",1.05,1.3,"0.061",1.33,1.27,"0.247"
"Sucrose",1.6,2.49,"0.012",2.37,2.73,"0.005",0.3,0.91,"0.751"
"Maltose",1.52,1.99,"0.015",2.17,2.08,"0.075",0.17,0.96,"0.600"
"Trigonelline",0.99,1.49,"0.019",1.56,1.6,"0.011",0.32,0.93,"0.641"
"Hippurate",1.24,1.58,"0.021",0.91,1.28,"0.130",1.04,1.23,"0.393"
"trans-Aconitate",1.36,2.15,"0.028",1.89,2.2,"0.024",0.09,0.97,"0.931"
"Acetylsalicylate",1.16,1.47,"0.032",0.63,1.17,"0.357",1.28,1.26,"0.267"
"Gluconate",0.95,1.34,"0.034",0.17,1.04,"0.786",1.54,1.29,"0.143"
"Creatine",1.39,1.68,"0.035",1.25,1.41,"0.179",0.85,1.19,"0.517"
"Valine",1.03,1.36,"0.036",0.79,1.19,"0.344",0.82,1.14,"0.407"
"Propylene glycol",2.29,0.19,"0.037",3.33,0.16,"0.032",0.34,1.14,"0.774"
