"Metabolite","VIP_comp1","FC_comp1","P_comp1","VIP_comp2","FC_comp2","P_comp2","VIP_comp3","FC_comp3","P_comp3"
"Indoxyl sulfate",1.66,1.83,"0.001",1.52,1.51,"0.017",0.98,1.21,"0.197"
"N-Phenylacetylglycine",1.76,1.85,"0.001",1.44,1.45,"0.020",1.28,1.27,"0.247"
"4-Hydroxyphenylacetate",1.63,1.71,"0.001",1.05,1.29,"0.066",1.58,1.32,"0.155"
"3-Methyl-2-oxovalerate",1.72,1.79,"0.002",0.85,1.24,"0.247",2.02,1.45,"0.070"
"1-Methylnicotinamide",1.5,1.66,"0.006",1.05,1.3,"0.062",1.33,1.28,"0.247"
"Sucrose",1.6,2.49,"0.012",2.37,2.73,"0.005",0.3,0.91,"0.751"
"Maltose",1.52,1.99,"0.014",2.17,2.08,"0.075",0.17,0.96,"0.589"
"Trigonelline",0.99,1.49,"0.019",1.56,1.6,"0.011",0.32,0.93,"0.647"
"Hippurate",1.24,1.58,"0.020",0.91,1.28,"0.132",1.04,1.23,"0.398"
"trans-Aconitate",1.36,2.15,"0.028",1.89,2.21,"0.025",0.09,0.97,"0.931"
"Acetylsalicylate",1.16,1.47,"0.031",0.63,1.17,"0.353",1.28,1.26,"0.267"
"Gluconate",0.95,1.34,"0.035",0.17,1.04,"0.773",1.54,1.29,"0.145"
"Valine",1.03,1.37,"0.036",0.79,1.19,"0.340",0.82,1.14,"0.421"
"Creatine",1.39,1.68,"0.037",1.25,1.42,"0.174",0.85,1.19,"0.517"
"Propylene glycol",2.28,0.19,"0.037",3.32,0.16,"0.032",0.34,1.14,"0.774"
"2-Hydroxyisobutyrate",0.99,1.35,"0.049",0.61,1.15,"0.401",1,1.18,"0.297"
