"Metabolite","VIP_comp1","FC_comp1","P_comp1","VIP_comp2","FC_comp2","P_comp2","VIP_comp3","FC_comp3","P_comp3"
"Sucrose",2.93,0.25,"0.001",4.19,0.18,"0.010",0.7,1.35,"0.815"
"Formate",1.43,0.68,"0.002",1.59,0.7,"0.192",0.09,0.98,"0.304"
"Valine",1.42,0.77,"0.003",0.31,0.95,"0.759",1.3,0.81,"0.031"
"Glycine",1.85,0.68,"0.006",1.72,0.74,"0.012",0.45,0.92,"0.851"
"N-Phenylacetylglycine",1.52,1.4,"0.011",1.45,1.31,"0.063",0.33,1.07,"0.501"
"3-Hydroxyisovalerate",0.89,0.87,"0.030",0.11,0.99,"0.803",0.9,0.88,"0.062"
"Indoxyl sulfate",1.52,1.5,"0.037",1.04,1.26,"0.469",0.73,1.19,"0.265"
"Propylene glycol",3.13,0.14,"0.042",0.08,0.96,"0.976",3.45,0.15,"0.044"
"Methylguanidine",0.93,0.87,"0.044",0.31,1.04,"0.407",1.35,0.84,"0.008"
"Acetylsalicylate",1.09,1.24,"0.064",1.6,1.3,"0.031",0.3,0.95,"0.776"
"Lysine",0.75,0.89,"0.125",0.03,1,"0.857",0.87,0.89,"0.029"
"3-Aminoisobutyric acid",1.01,0.83,"0.151",0.55,1.09,"0.122",1.67,0.76,"0.003"
"2-Hydroxyisobutyrate",0.61,0.92,"0.169",0.55,1.07,"0.299",1.2,0.86,"0.024"
"Trigonelline",0.02,0.99,"0.230",2.24,1.84,"0.184",2.15,0.54,"0.007"
"Citrate",0.42,1.12,"0.246",1.08,0.79,"0.239",1.5,1.41,"0.030"
"2-Methylglutarate",0.54,0.91,"0.253",0.42,1.06,"0.434",1,0.86,"0.045"
"Fucose",0.45,0.93,"0.297",0.46,1.06,"0.289",0.94,0.88,"0.041"
"N6-Acetyllysine",0.24,0.94,"0.383",1.13,1.29,"0.043",1.35,0.73,"0.314"
"N-Acetylaspartate",0.46,0.94,"0.402",0.87,1.11,"0.051",1.34,0.84,"0.006"
"Pantothenic acid",0.24,1.04,"0.582",0.87,1.13,"0.016",0.57,0.92,"0.167"
