"Metabolite","VIP_comp1","FC_comp1","P_comp1","VIP_comp2","FC_comp2","P_comp2","VIP_comp3","FC_comp3","P_comp3"
"N-Phenylacetylglycine",2.22,1.61,"<0.001",1.24,1.24,"0.111",1.36,1.29,"0.077"
"Succinate",1.21,1.29,"0.004",0.37,1.07,"0.414",1.03,1.21,"0.055"
"Indoxyl sulfate",2.07,1.72,"0.005",0.83,1.2,"0.427",1.57,1.44,"0.043"
"Sucrose",2.68,0.3,"0.010",4.26,0.2,"0.006",0.93,1.45,"0.583"
"Acetylsalicylate",1.79,1.42,"0.010",1.31,1.24,"0.085",0.81,1.15,"0.341"
"Pantothenic acid",0.94,1.19,"0.011",0.43,1.07,"0.294",0.67,1.12,"0.164"
"Dimethylamine",0.19,1.06,"0.013",0.87,0.79,"0.543",1.02,1.34,"0.105"
"Glutamine",0.92,1.18,"0.013",0.07,0.99,"0.830",1.11,1.2,"0.004"
"Gluconate",0.78,1.18,"0.014",0.04,0.99,"0.839",0.93,1.19,"0.004"
"3-Methyl-2-oxovalerate",0.97,1.22,"0.040",0.2,0.97,"0.912",1.28,1.27,"0.020"
"Glycine",1.14,0.78,"0.077",1.98,0.7,"0.010",0.55,1.11,"0.358"
"Citrate",0.9,1.28,"0.156",1.29,0.75,"0.239",2.23,1.71,"0.010"
