"Metabolite","VIP_comp1","FC_comp1","P_comp1","VIP_comp2","FC_comp2","P_comp2","VIP_comp3","FC_comp3","P_comp3"
"N-Phenylacetylglycine",1.77,1.98,"0.001",1.37,1.43,"0.081",1.14,1.39,"0.177"
"Indoxyl sulfate",1.87,2.12,"0.002",1.17,1.37,"0.388",1.46,1.54,"0.044"
"Acetylsalicylate",1.52,1.75,"0.010",1.41,1.42,"0.075",0.77,1.23,"0.435"
"1-Methylnicotinamide",1.48,1.74,"0.013",1.38,1.42,"0.068",0.73,1.22,"0.398"
"Succinate",1.34,1.59,"0.028",0.87,1.23,"0.253",1.02,1.3,"0.252"
"Glutamine",1.13,1.46,"0.035",0.57,1.14,"0.462",1.01,1.28,"0.199"
"Acetate",1.08,1.46,"0.043",0.5,1.12,"0.647",1,1.3,"0.191"
"Citrate",1.24,1.58,"0.045",0.61,0.86,"0.420",2.22,1.84,"0.011"
"Taurine",1.27,1.56,"0.048",0.92,1.24,"0.181",0.87,1.25,"0.435"
"Sucrose",1.83,0.32,"0.256",4.16,0.17,"0.027",1.32,1.85,"0.242"
