"Metabolite","VIP_6M_comp1","FC_6M_comp1","P_6M_comp1","VIP_6M_comp2","FC_6M_comp2","P_6M_comp2","VIP_6M_comp3","FC_6M_comp3","P_6M_comp3","VIP_2Y_comp1","FC_2Y_comp1","P_2Y_comp1","VIP_2Y_comp2","FC_2Y_comp2","P_2Y_comp2","VIP_2Y_comp3","FC_2Y_comp3","P_2Y_comp3"
"1-Methylnicotinamide",1.26,1.49,"<0.001",0.61,1.16,"0.070",1.01,1.28,"0.191",1.21,1.41,"0.056",0.91,1.24,"0.184",0.53,1.14,"0.679"
"Indoxyl sulfate",1.69,1.64,"<0.001",1.3,1.34,"0.017",0.87,1.22,"0.110",2.07,1.72,"0.005",0.83,1.2,"0.427",1.57,1.44,"0.043"
"N-Phenylacetylglycine",2.12,1.66,"<0.001",1.38,1.29,"0.007",1.34,1.28,"0.044",2.22,1.61,"<0.001",1.24,1.24,"0.111",1.36,1.29,"0.077"
"4-Hydroxyphenylacetate",1.71,1.53,"<0.001",0.72,1.15,"0.213",1.47,1.33,"0.011",0.16,1.04,"0.638",0.24,0.96,"0.821",0.4,1.08,"0.558"
"Maltose",1.56,1.82,"<0.001",2.16,1.91,"0.020",0.15,0.95,"0.243",0.27,1.1,"0.946",0.45,0.88,"0.239",0.72,1.25,"0.304"
"Acetylsalicylate",1.27,1.32,"<0.001",0.24,1.04,"0.308",1.39,1.27,"0.020",1.79,1.42,"0.010",1.31,1.24,"0.085",0.81,1.15,"0.341"
"3-Methyl-2-oxovalerate",2.04,1.61,"<0.001",0.54,1.1,"0.297",2.08,1.46,"0.008",0.97,1.22,"0.040",0.2,0.97,"0.912",1.28,1.27,"0.020"
"2-Hydroxyisobutyrate",1.11,1.21,"0.002",0.15,1.02,"0.545",1.27,1.19,"0.012",0.33,1.05,"0.345",0.1,1.01,"0.698",0.28,1.04,"0.572"
"N,N-Dimethylglycine",1.06,0.75,"0.003",0.92,0.83,"0.084",0.44,0.91,"0.481",0.25,0.94,"0.465",0.44,0.92,"0.724",0.12,1.03,"0.809"
"Pantothenic acid",0.9,1.21,"0.006",0.02,1,"0.589",1.13,1.2,"0.047",0.94,1.19,"0.011",0.43,1.07,"0.294",0.67,1.12,"0.164"
"Trigonelline",0.86,1.34,"0.007",1.35,1.43,"0.003",0.24,0.94,"0.789",0.36,1.11,"0.356",2.13,1.7,"0.322",1.58,0.66,"0.084"
"Hippurate",1.26,1.41,"0.007",0.62,1.14,"0.174",0.99,1.24,"0.100",0.31,1.08,"0.996",0.13,1.03,"0.968",0.22,1.05,"0.919"
"Creatine",1.47,1.5,"0.012",1.07,1.26,"0.150",0.82,1.19,"0.282",0.23,0.94,"0.989",0.48,0.91,"0.401",0.18,1.04,"0.423"
"Acetate",0.99,1.26,"0.012",0.26,0.95,"0.830",1.52,1.31,"0.019",0.81,1.18,"0.059",0.13,0.98,"0.566",1.03,1.21,"0.123"
"trans-Aconitate",1.37,2,"0.028",1.82,2.04,"0.022",0.05,0.98,"0.789",1.42,0.53,"0.426",1.47,0.58,"0.151",0.24,0.91,"0.563"
"3-Aminoisobutyric acid",0.75,1.17,"0.028",0.73,1.13,"0.348",0.23,1.04,"0.337",0.27,0.95,"0.911",0.21,1.03,"0.490",0.5,0.92,"0.455"
"Tyrosine",0.64,1.16,"0.032",0.3,1.06,"0.392",0.53,1.1,"0.250",0.02,0.99,"0.619",0.71,0.88,"0.204",0.64,1.12,"0.275"
"Gluconate",0.77,1.2,"0.033",0.42,0.92,"0.712",1.41,1.3,"0.015",0.78,1.18,"0.014",0.04,0.99,"0.839",0.93,1.19,"0.004"
"Valine",0.91,1.22,"0.034",0.35,1.06,"0.606",0.81,1.15,"0.124",0.63,0.88,"0.118",0.63,0.9,"0.490",0.13,0.98,"0.536"
"Sucrose",1.61,2.26,"0.040",2.29,2.46,"0.004",0.21,0.92,"0.450",2.68,0.3,"0.010",4.26,0.2,"0.006",0.93,1.45,"0.583"
"N6-Acetyllysine",0.65,1.2,"0.043",0.12,1.03,"0.519",0.72,1.17,"0.162",0.3,1.08,"0.114",0.95,1.22,"0.136",0.55,0.88,"0.919"
"Creatine phosphate",0.08,0.97,"0.048",0.02,1.01,"0.277",0.12,0.97,"0.278",0.17,1.06,"0.143",0.68,1.21,"0.394",0.45,0.88,"0.529"
"Dimethylamine",0.28,0.9,"0.052",0.87,0.79,"0.786",0.5,1.15,"0.038",0.19,1.06,"0.013",0.87,0.79,"0.543",1.02,1.34,"0.105"
