"Metabolite","VIP_6M_comp1","FC_6M_comp1","P_6M_comp1","VIP_6M_comp2","FC_6M_comp2","P_6M_comp2","VIP_6M_comp3","FC_6M_comp3","P_6M_comp3","VIP_2Y_comp1","FC_2Y_comp1","P_2Y_comp1","VIP_2Y_comp2","FC_2Y_comp2","P_2Y_comp2","VIP_2Y_comp3","FC_2Y_comp3","P_2Y_comp3"
"Indoxyl sulfate",1.76,1.66,"<0.001",1.47,1.37,"0.014",1.22,1.21,"0.086",2.72,1.99,"<0.001",0.37,1.09,"0.607",2.66,1.82,"0.005"
"N-Phenylacetylglycine",2.41,1.76,"<0.001",1.4,1.28,"0.005",2.53,1.38,"0.004",2.54,1.69,"<0.001",1.09,1.23,"0.104",1.72,1.37,"0.029"
"4-Hydroxyphenylacetate",1.76,1.54,"<0.001",0.98,1.2,"0.140",1.9,1.29,"0.015",0.53,1.12,"0.269",0.56,0.89,"0.429",1.17,1.25,"0.069"
"Maltose",1.6,1.83,"<0.001",2.23,1.88,"0.024",0.13,0.97,"0.061",0.39,1.14,"0.838",0.41,0.88,"0.183",0.86,1.29,"0.104"
"1-Methylnicotinamide",1.18,1.45,"0.002",0.92,1.24,"0.020",0.92,1.17,"0.476",0.86,1.27,"0.113",1.37,1.41,"0.084",0.45,0.9,"0.615"
"Trigonelline",1.11,1.45,"0.002",1.11,1.32,"0.010",0.52,1.1,"0.487",1.19,1.42,"0.678",0.79,1.24,"0.807",0.51,1.14,"0.645"
"Acetylsalicylate",1.12,1.27,"0.003",0.68,1.12,"0.086",1.14,1.14,"0.192",1.59,1.35,"0.039",1.63,1.33,"0.018",0.09,1.02,"0.886"
"3-Methyl-2-oxovalerate",1.7,1.48,"0.003",1.35,1.26,"0.055",1.29,1.17,"0.294",1.02,1.23,"0.036",0,1,"0.764",1.15,1.23,"0.044"
"Hippurate",1.41,1.46,"0.004",0.68,1.15,"0.180",1.66,1.28,"0.042",0.55,1.14,"0.783",0.09,0.98,"0.756",0.71,1.16,"0.668"
"N,N-Dimethylglycine",1.11,0.75,"0.004",1,0.82,"0.052",0.67,0.91,"0.279",0.3,0.93,"0.444",0.35,0.93,"0.717",0.02,1,"0.954"
"Creatine",1.65,1.57,"0.008",1.08,1.25,"0.146",1.56,1.26,"0.222",0.11,0.97,"0.760",0.56,0.88,"0.282",0.45,1.1,"0.187"
"Sucrose",1.82,2.48,"0.010",2.17,2.25,"0.022",0.36,1.1,"0.573",2.31,0.36,"0.029",4.3,0.18,"0.002",1.86,2.07,"0.258"
"Creatine phosphate",0.44,1.18,"0.010",0.59,0.85,"0.497",1.62,1.38,"0.048",0.4,1.14,"0.023",0.3,1.1,"0.923",0.14,1.04,"0.014"
"Tyrosine",0.8,1.2,"0.017",0.24,1.04,"0.424",1.16,1.15,"0.094",0.44,1.09,"0.559",1.08,0.82,"0.022",1.6,1.34,"0.005"
"2-Hydroxyisobutyrate",0.76,1.14,"0.023",0.8,1.11,"0.098",0.31,1.03,"0.534",0.44,1.07,"0.213",0.02,1,"0.882",0.47,1.06,"0.233"
"trans-Aconitate",1.45,2.06,"0.034",1.83,1.98,"0.019",0.15,1.04,"0.938",0.93,0.67,"0.585",1.99,0.45,"0.107",1.01,1.48,"0.279"
"Valine",0.88,1.21,"0.042",0.56,1.1,"0.428",0.85,1.11,"0.184",0.45,0.92,"0.526",0.83,0.86,"0.082",0.35,1.06,"0.371"
"Propylene glycol",2.75,0.17,"0.043",3.33,0.2,"0.055",0.48,0.85,"0.808",2.6,0.23,"0.157",1.43,0.48,"0.402",1.43,0.49,"0.528"
"Pantothenic acid",0.67,1.15,"0.065",0.49,1.08,"0.109",0.56,1.06,"0.776",0.95,1.19,"0.006",0.53,1.09,"0.315",0.52,1.09,"0.099"
"Gluconate",0.65,1.16,"0.113",0.04,0.99,"0.672",1.26,1.17,"0.212",0.89,1.2,"0.011",0.02,1,"0.988",0.97,1.2,"0.006"
"Formate",0.72,0.81,"0.115",0.76,0.84,"0.328",0.29,0.95,"0.556",0.6,0.85,"0.398",1.97,0.62,"0.028",1.36,1.38,"0.187"
"Glycine",0.51,0.88,"0.378",0.83,0.86,"0.152",0.21,1.03,"0.770",0.66,0.87,"0.415",2.31,0.63,"<0.001",1.66,1.37,"0.006"
"Glutamine",0.36,1.08,"0.391",0.05,0.99,"0.757",0.73,1.08,"0.551",0.98,1.19,"0.005",0.08,1.01,"0.803",1.01,1.17,"0.001"
"N-Acetylaspartate",0.34,1.06,"0.400",0.06,0.99,"0.637",0.71,1.07,"0.808",0.5,1.08,"0.024",0.33,1.05,"0.243",0.22,1.03,"0.297"
"Succinate",0.43,1.1,"0.585",0.54,1.1,"0.061",0.04,1.01,"0.381",1.25,1.29,"0.008",0.51,1.1,"0.201",0.87,1.17,"0.148"
"Taurine",0.24,1.07,"0.759",0.47,0.91,"0.879",1.11,1.17,"0.630",1.51,1.41,"0.036",0.05,0.99,"0.650",1.73,1.43,"0.009"
"Alanine",0.18,0.96,"0.759",0.3,0.95,"0.699",0.08,1.01,"0.997",0.98,1.23,"0.049",0.8,0.85,"0.024",1.93,1.45,"<0.001"
"Lactate",0.2,1.04,"0.870",0.57,1.1,"0.254",0.42,0.95,"0.508",0.45,1.09,"0.138",0.49,0.92,"0.204",1.01,1.19,"0.006"
