Metabolite,Chemical_shift,Timepoint,Grouping,Comparison,VIP,Fold_change,P
N-Phenylacetylglycine,7.404-7.448(m),6M,GA,<28wk vs >=37wk,2.11,1.76,<0.001
N-Phenylacetylglycine,7.404-7.448(m),6M,GA,28-32wk vs >=37wk,1.07,1.29,0.014
N-Phenylacetylglycine,7.404-7.448(m),6M,GA,<28wk vs 28-32wk,2.13,1.37,0.004
4-Hydroxyphenylacetate,6.855-6.883,6M,GA,<28wk vs >=37wk,1.66,1.55,<0.001
4-Hydroxyphenylacetate,6.855-6.883,6M,GA,28-32wk vs >=37wk,0.77,1.27,0.091
4-Hydroxyphenylacetate,6.855-6.883,6M,GA,<28wk vs 28-32wk,1.64,1.22,0.033
Indoxyl sulfate,7.496-7.529,6M,GA,<28wk vs >=37wk,1.68,1.57,<0.001
Indoxyl sulfate,7.496-7.529,6M,GA,28-32wk vs >=37wk,1.21,1.3,0.016
Indoxyl sulfate,7.496-7.529,6M,GA,<28wk vs 28-32wk,1.13,1.21,0.181
3-Methyl-2-oxovalerate,1.098-1.122(d),6M,GA,<28wk vs >=37wk,1.45,1.46,<0.001
3-Methyl-2-oxovalerate,1.098-1.122(d),6M,GA,28-32wk vs >=37wk,0.93,1.32,0.052
3-Methyl-2-oxovalerate,1.098-1.122(d),6M,GA,<28wk vs 28-32wk,1.03,1.1,0.182
Acetylsalicylate,2.337-2.357(s),6M,GA,<28wk vs >=37wk,1.11,1.31,0.002
Acetylsalicylate,2.337-2.357(s),6M,GA,28-32wk vs >=37wk,0.54,1.17,0.171
Acetylsalicylate,2.337-2.357(s),6M,GA,<28wk vs 28-32wk,0.97,1.12,0.156
1-Methylnicotinamide,9.245-9.320,6M,GA,<28wk vs >=37wk,1.32,1.53,0.003
1-Methylnicotinamide,9.245-9.320,6M,GA,28-32wk vs >=37wk,0.82,1.36,0.108
1-Methylnicotinamide,9.245-9.320,6M,GA,<28wk vs 28-32wk,0.88,1.12,0.318
Creatine,3.029-3.044,6M,GA,<28wk vs >=37wk,1.43,1.35,0.005
Creatine,3.029-3.044,6M,GA,28-32wk vs >=37wk,0.77,1.11,0.166
Creatine,3.029-3.044,6M,GA,<28wk vs 28-32wk,1.35,1.22,0.113
Hippurate,7.529-7.580,6M,GA,<28wk vs >=37wk,1.31,1.48,0.006
Hippurate,7.529-7.580,6M,GA,28-32wk vs >=37wk,0.55,1.15,0.256
Hippurate,7.529-7.580,6M,GA,<28wk vs 28-32wk,1.45,1.28,0.083
2-Hydroxyisobutyrate,1.355-1.375,6M,GA,<28wk vs >=37wk,0.74,1.16,0.009
2-Hydroxyisobutyrate,1.355-1.375,6M,GA,28-32wk vs >=37wk,0.58,1.18,0.089
2-Hydroxyisobutyrate,1.355-1.375,6M,GA,<28wk vs 28-32wk,0.24,0.98,0.676
"N,N-Dimethylglycine",2.920-2.938,6M,GA,<28wk vs >=37wk,1.1,0.87,0.011
"N,N-Dimethylglycine",2.920-2.938,6M,GA,28-32wk vs >=37wk,0.85,0.9,0.058
"N,N-Dimethylglycine",2.920-2.938,6M,GA,<28wk vs 28-32wk,0.59,0.97,0.473
Trigonelline,8.809-8.868,6M,GA,<28wk vs >=37wk,1.21,1.13,0.016
Trigonelline,8.809-8.868,6M,GA,28-32wk vs >=37wk,1.01,1.04,0.059
Trigonelline,8.809-8.868,6M,GA,<28wk vs 28-32wk,0.57,1.09,0.494
Tyrosine,6.890-6.915(ddd),6M,GA,<28wk vs >=37wk,0.85,1.19,0.017
Tyrosine,6.890-6.915(ddd),6M,GA,28-32wk vs >=37wk,0.2,1.05,0.605
Tyrosine,6.890-6.915(ddd),6M,GA,<28wk vs 28-32wk,1.14,1.13,0.073
Valine,1.045-1.057,6M,GA,<28wk vs >=37wk,0.85,1.18,0.021
Valine,1.045-1.057,6M,GA,28-32wk vs >=37wk,0.41,1.18,0.359
Valine,1.045-1.057,6M,GA,<28wk vs 28-32wk,0.71,1.0,0.318
Sucrose,6.405-6.423,6M,GA,<28wk vs >=37wk,2.33,1.56,0.028
Sucrose,6.405-6.423,6M,GA,28-32wk vs >=37wk,2.46,1.32,0.026
Sucrose,6.405-6.423,6M,GA,<28wk vs 28-32wk,0.61,1.19,0.442
Pantothenic acid,0.928-0.940,6M,GA,<28wk vs >=37wk,0.7,1.18,0.032
Pantothenic acid,0.928-0.940,6M,GA,28-32wk vs >=37wk,0.41,1.11,0.258
Pantothenic acid,0.928-0.940,6M,GA,<28wk vs 28-32wk,0.5,1.06,0.429
trans-Aconitate,6.514-6.535,6M,GA,<28wk vs >=37wk,2.07,1.46,0.054
trans-Aconitate,6.514-6.535,6M,GA,28-32wk vs >=37wk,2.26,1.29,0.043
trans-Aconitate,6.514-6.535,6M,GA,<28wk vs 28-32wk,0.27,1.13,0.735
N-Phenylacetylglycine,7.404-7.448(m),2Y,GA,<28wk vs >=37wk,2.06,1.82,<0.001
N-Phenylacetylglycine,7.404-7.448(m),2Y,GA,28-32wk vs >=37wk,0.97,1.3,0.070
N-Phenylacetylglycine,7.404-7.448(m),2Y,GA,<28wk vs 28-32wk,1.12,1.4,0.019
Indoxyl sulfate,7.496-7.529(d),2Y,GA,<28wk vs >=37wk,2.14,1.73,<0.001
Indoxyl sulfate,7.496-7.529(d),2Y,GA,28-32wk vs >=37wk,0.29,1.25,0.709
Indoxyl sulfate,7.496-7.529(d),2Y,GA,<28wk vs 28-32wk,1.9,1.38,0.004
Glutamine,2.431-2.461,2Y,GA,<28wk vs >=37wk,0.99,1.18,0.005
Glutamine,2.431-2.461,2Y,GA,28-32wk vs >=37wk,0.08,1.05,0.846
Glutamine,2.431-2.461,2Y,GA,<28wk vs 28-32wk,0.69,1.13,0.025
Succinate,2.400-2.418(t),2Y,GA,<28wk vs >=37wk,1.15,1.56,0.009
Succinate,2.400-2.418(t),2Y,GA,28-32wk vs >=37wk,0.59,1.1,0.159
Succinate,2.400-2.418(t),2Y,GA,<28wk vs 28-32wk,0.59,1.42,0.110
Pantothenic acid,0.928-0.940,2Y,GA,<28wk vs >=37wk,0.92,1.27,0.015
