Metabolite,GA0,GA1,GA2,BPD0,BPD1,BPD2
Formic acid,128.5527,47.7743,45.8993,128.5527,46.6416,46.9157
Butyric acid,72.7943,105.289,152.2848,72.7943,115.2097,140.0596
Isovalerate,735.8093,892.6845,1297.0515,735.8093,971.9954,1196.2016
Phenylacetic acid,97.609,120.8938,169.2697,97.609,134.4706,154.2715
£]-Alanine,39.1235,59.2775,55.4264,39.1235,37.1683,71.7059
Methionine,49.0109,67.1949,70.8956,49.0109,60.3828,75.3803
Lactate,4345.541,4029.6912,2109.7545,4345.541,4599.1479,1909.92
Galactose,174.6926,157.6322,120.6295,174.6926,150.2015,129.9823
N6-Acetyllysine,162.2878,215.6628,216.0976,162.2878,188.0784,235.8392
Aspartate,113.1025,123.5494,160.8647,113.1025,124.5692,156.0771
Leucine,474.7996,526.5641,595.6063,474.7996,465.4786,631.9239
Glutamate,994.9453,1233.3341,1500.0408,994.9453,865.6974,1734.7904
Histamine,68.7727,96.1749,87.5074,68.7727,79.1677,100.6504
Caproic acid,257.1864,321.5987,360.5225,257.1864,297.8949,373.2965
Propylene glycol,49.4755,57.9791,77.4315,49.4755,56.0927,76.6704
Ethanol,31.9321,40.8975,41.1602,31.9321,38.1026,43.1366
Valine,543.2301,570.1768,661.829,543.2301,517.8633,689.3961
Isoleucine,507.3157,534.4588,602.6215,507.3157,476.483,636.8038
