"Metabolite","HardCluster","Cluster_1","Cluster_2","Cluster_3","Cluster_4","6M_0","6M_1","6M_2","2Y_0","2Y_1","2Y_2"
"N-Phenylacetylglycine",2,0.292058405107594,0.492564608298188,0.0591295213358552,0.156247465258362,115361657923.014,167682220815.674,252891100052.731,234800335840.08,334742314433.257,551407165605.287
"4-Hydroxyphenylacetate",4,0.195124534259737,0.221782581753513,0.181576530100339,0.401516353886411,69699915626.9408,88635231132.083,139524598978.04,90454388403.0078,88352113161.3186,116633696411.814
"3-Methyl-2-oxovalerate",2,0.302993158781129,0.521162989506992,0.0483054426207559,0.127538409091123,35528154334.2709,45844496270.3497,72512279216.6129,81238355160.2191,83420202702.2245,143995323030.102
"Acetylsalicylate",2,0.320797779150007,0.470609567729399,0.059772631517569,0.148820021603026,124660821003.486,159620861160.651,238099774054.377,243405363323.554,345828227535.021,569465150916.672
"1-Methylnicotinamide",3,0.155855826691721,0.170613454783683,0.443923264503946,0.22960745402065,25051769567.2815,32213741663.9973,49934243756.3544,13545959629.1951,17384022708.8858,24515909370.7986
"Creatine",1,0.519390867864921,0.273182311439434,0.0709178927760248,0.13650892791962,533079291315.711,737773051813.489,938600244830.058,1996645991467.8,2079858349912.46,2857479499011.81
"Hippurate",1,0.474233713752813,0.337839661451691,0.059956841069655,0.12796978372584,64941946870.0922,83360011274.8301,120926328306.44,226695246798.996,261190515372.24,452784911560.242
"2-Hydroxyisobutyrate",1,0.573443409724854,0.261769937872341,0.0503774373894183,0.114409215013386,83857064802.4701,101232809003.557,128281761386.858,143570724174.768,166559190503.521,200892950857.391
"N,N-Dimethylglycine",3,0.201884769434364,0.209873241609293,0.36895662961629,0.219285359340054,163240926174.452,179182513313.941,148775744016.431,127977645094.171,158344790246.005,140012221811.519
"Trigonelline",1,0.372285110798432,0.292670425344336,0.12868803271476,0.206356431142473,5462330589.85494,8134324594.94549,7668041063.90202,10361708469.6995,13887779558.9963,12085482865.5819
"Tyrosine",4,0.192749408239425,0.227590754197011,0.183784203715141,0.395875633848423,54817297859.1878,66833314055.9557,80499473540.2227,63224079559.9283,57171531158.9553,78373978138.7528
"Valine",1,0.424204133445409,0.291893019242849,0.0970689023176877,0.186833944994053,7299078642.96798,9195651779.13325,10520959232.6837,12375369601.2485,12980245514.3456,13585701287.1162
"Sucrose",3,0.0626543044706051,0.0666905093345864,0.792321369065158,0.0783338171296508,13128180703.5644,20775259615.7381,20383096720.8958,4570863871.76072,3193290744.95258,3761947701.09909
"trans-Aconitate",3,0.0435012757824156,0.0465369286292385,0.854252029918638,0.0557097656697075,16355575358.3156,23632615375.5766,26492100054.7485,4468091833.59054,3047570965.88188,5190369476.4825
"Glutamine",4,0.160432911855591,0.218140189463656,0.0759796751571691,0.545447223523583,307309414441.101,322581591349.488,470813673592.845,352984431120.791,393601379760.107,538788918465.758
"Succinate",4,0.218506383054942,0.304130797609297,0.121041792463936,0.356321026871825,190931951291.008,217692565972.842,285911267062.922,181503207301.959,207409024566.991,459304154397.342
"Taurine",2,0.234294931176381,0.343166778192784,0.0968725079581338,0.325665782672701,365376007268.294,367533514802.074,475871991639.214,363948934188.985,460582055691.048,640326976738.626
"Gluconate",4,0.167782970433806,0.202375912246976,0.130852574450133,0.498988542869086,91941483024.8776,104911306551.308,147387979664.338,96373788357.4424,111667902989.925,143653991086.799
"Glycine",2,0.305547307872093,0.306964581983301,0.143198674855201,0.244289435289405,259527236929.435,239977912503.316,277152011688.223,351081943433.502,254092713932.806,355211915242.557
"N6-Acetyllysine",1,0.391991042711092,0.339921914383011,0.0865848641072138,0.181502178798684,50435864085.5812,49034543016.0337,59529326200.8362,61311631131.3662,87520509738.3458,100844608259.361
"Formate",2,0.264640399766909,0.275069066692036,0.20635340822347,0.253937125317585,57624841884.5368,56002381384.1718,55903111114.864,61058897051.7507,53048375391.9572,59870188966.3304
"Alanine",2,0.276438494660966,0.46170943025841,0.0724783916129038,0.18937368346772,132758364367.388,140251958393.427,157826831937.673,165156490752.692,158414695632.496,225880096904.181
"Lactate",4,0.197542070146467,0.293597459258012,0.083689404303315,0.425171066292205,101896803051.514,108602919346.016,146465292208.059,122773496009.202,122267630852.428,179150857778.052
"3-Hydroxyisobutyrate",1,0.443456704171481,0.349966477719477,0.0639484195296466,0.142628398579395,53144040347.7558,62744337030.0834,78392460909.6928,104820673139.216,95225602684.7303,144758616959.117
"N-Acetylaspartate",2,0.351794220943924,0.367065663368386,0.0763450206563509,0.204795095031339,119020904859.019,128165905473.989,163021294709.968,149850709450.882,181714750276.862,207925507948.257
"Acetate",4,0.162639305363927,0.202353014584379,0.0885177259309135,0.546489954120781,141531873866.472,151010711993.61,260306530180.086,174979859332.783,199715937009.697,274394576974.388
"2-Methylglutarate",1,0.6759811358688,0.202123030782346,0.0385588970410388,0.0833369363078153,6346579058.94649,7775636655.39255,9535865026.83333,12334819599.99,13304286504.4273,17341656241.8118
