"Metabolite","HardCluster","Cluster_1","Cluster_2","Cluster_3","Cluster_4","GA_6M_0","GA_6M_1","GA_6M_2","GA_2Y_0","GA_2Y_1","GA_2Y_2","BPD_6M_0","BPD_6M_1","BPD_6M_2","BPD_2Y_0","BPD_2Y_1","BPD_2Y_2"
"N-Phenylacetylglycine",2,0.367738082433038,0.589955409748999,0.0358400377410579,0.00646647007690493,115361657923.014,169787193920.965,267052864073.28,234800335840.08,341226905519.939,579303461311.208,115361657923.014,167682220815.674,252891100052.731,234800335840.08,334742314433.257,551407165605.287
"4-Hydroxyphenylacetate",3,0.0447516089514353,0.0186609294471316,0.919599286158826,0.0169881754426073,69699915626.9408,94328997285.7496,142788359158.324,90454388403.0078,86148447812.7047,123244883711.859,69699915626.9408,88635231132.083,139524598978.04,90454388403.0078,88352113161.3186,116633696411.814
"3-Methyl-2-oxovalerate",2,0.146111051224315,0.833349532625095,0.0171918266715084,0.0033475894790822,35528154334.2709,55270315284.0686,66680643872.9933,81238355160.2191,90333177734.5389,146828761076.724,35528154334.2709,45844496270.3497,72512279216.6129,81238355160.2191,83420202702.2245,143995323030.102
"Acetylsalicylate",2,0.222687825871155,0.744904564322945,0.0267797486613973,0.00562786114450247,124660821003.486,172120622068.333,238778866239.282,243405363323.554,363784561622.773,587292445102.017,124660821003.486,159620861160.651,238099774054.377,243405363323.554,345828227535.021,569465150916.672
"1-Methylnicotinamide",4,0.0507546345465165,0.0296236735552645,0.159475864949093,0.760145826949126,25051769567.2815,35959951327.3835,49006096266.0207,13545959629.1951,19333047033.8615,23744262527.3084,25051769567.2815,32213741663.9973,49934243756.3544,13545959629.1951,17384022708.8858,24515909370.7986
"Creatine",2,0.0420444087296725,0.942511081232947,0.0118432262814335,0.00360128375594669,533079291315.711,778421056142.764,930198131081.944,1996645991467.8,2070675337444.42,2989203139956.91,533079291315.711,737773051813.489,938600244830.058,1996645991467.8,2079858349912.46,2857479499011.81
"Hippurate",2,0.0606505821452711,0.926392867461141,0.0102712384004294,0.0026853119931582,64941946870.0922,90790473437.6755,119557263731.715,226695246798.996,256028273881.501,488063051357.225,64941946870.0922,83360011274.8301,120926328306.44,226695246798.996,261190515372.24,452784911560.242
"2-Hydroxyisobutyrate",2,0.0156808545579166,0.979955371962427,0.00354410963759129,0.000819663842064875,83857064802.4701,110600111852.463,122593007297.075,143570724174.768,163742326092.656,209056807313.318,83857064802.4701,101232809003.557,128281761386.858,143570724174.768,166559190503.521,200892950857.391
"N,N-Dimethylglycine",4,0.110585503866763,0.0943917114456627,0.131901431560785,0.663121353126789,163240926174.452,176162919343.211,146377850265.577,127977645094.171,152391020861.718,142914696985.511,163240926174.452,179182513313.941,148775744016.431,127977645094.171,158344790246.005,140012221811.519
"Trigonelline",2,0.156378134543061,0.738531463573474,0.074748782394562,0.0303416194889032,5462330589.85494,8448486407.45518,7209259716.37,10361708469.6995,12723097050.9696,12934942671.8057,5462330589.85494,8134324594.94549,7668041063.90202,10361708469.6995,13887779558.9963,12085482865.5819
"Tyrosine",3,0.0656261230949871,0.0220082431120358,0.892962123534757,0.0194035102582201,54817297859.1878,64842156735.4337,85497152253.8616,63224079559.9283,57652869186.1197,81253061688.0607,54817297859.1878,66833314055.9557,80499473540.2227,63224079559.9283,57171531158.9553,78373978138.7528
"Valine",2,0.118885879255145,0.819298752576496,0.0494785027162279,0.012336865452131,7299078642.96798,9112751972.0626,10876609241.6543,12375369601.2485,12336111556.1699,14308482631.5668,7299078642.96798,9195651779.13325,10520959232.6837,12375369601.2485,12980245514.3456,13585701287.1162
"Sucrose",4,0.00455607247843349,0.00317515880360311,0.00909433773718266,0.983174430980781,13128180703.5644,19495666069.6458,21804637868.5468,4570863871.76072,2951425984.58457,4087235539.79634,13128180703.5644,20775259615.7381,20383096720.8958,4570863871.76072,3193290744.95258,3761947701.09909
