"Metabolite","HardCluster","Cluster_1","Cluster_2","Cluster_3","BPD_HC","BPD_No+Mild","BPD_M+S"
"N-Phenylacetylglycine",1,0.40458060220082,0.317934231846084,0.277485165953097,0.0247470160429631,0.0359735723675058,0.0785587170053855
"4-Hydroxyphenylacetate",2,0.293481025893202,0.368860550440505,0.337658423666293,-0.690636257538694,-0.998357708960563,-1.28549731193391
"Indoxyl sulfate",1,0.457454907514931,0.295051896035337,0.247493196449732,-0.247038958150239,-0.107708244005089,-0.235824419440187
"3-Methyl-2-oxovalerate",1,0.423320232145914,0.309883230173147,0.266796537680938,0.139459505689852,-0.0869413295341512,-0.363139705183758
"Acetylsalicylate",1,0.405159092323163,0.317949693021186,0.276891214655651,-0.0869459026004289,0.107049730196324,0.0626004254974246
"1-Methylnicotinamide",3,0.284461267096728,0.319366448870422,0.39617228403285,-1.70647145860546,-1.94624532226293,-1.72513750939335
"Creatine",1,0.369834508509154,0.328642144955835,0.301523346535011,0.89261642735565,0.509828088806406,0.550882480728713
"Hippurate",1,0.36628340720585,0.329660525727128,0.304056067067021,0.807012005486495,0.664699753357479,0.869940138998575
"2-Hydroxyisobutyrate",1,0.446077694833737,0.307776953961206,0.246145351205057,-0.2913190217608,-0.330726981148105,-0.581684483129908
"N,N-Dimethylglycine",3,0.262001504845036,0.333446904571184,0.40455159058378,-1.29637488044325,-1.13339426006148,-1.09463018662734
"Trigonelline",1,0.443911140212907,0.300778840798513,0.255310018988581,-0.055598617123336,-0.0355967473881582,-0.4424982971661
"Tyrosine",2,0.278385541227637,0.391185922957326,0.330428535815037,-0.849791124490613,-1.07731725250797,-1.0089796160681
"Valine",1,0.401676706542582,0.334293845127245,0.264029448330173,-0.247639433317624,-0.520848469204302,-0.618231065047209
"Sucrose",3,0.316020395733346,0.331410370090999,0.352569234175655,-2.72797765146229,-3.42960238064222,-3.98239944141202
"Pantothenic acid",2,0.189873946581621,0.622250619902185,0.187875433516194,-0.838853152416554,-0.790897494406571,-0.791430814605474
"trans-Aconitate",3,0.318218280821499,0.331870375595187,0.349911343583314,-3.23802130963725,-4.34155445398844,-3.97500493663174
"Glutamine",2,0.204541403884555,0.594297530231955,0.201161065883489,-0.83180675471103,-0.793354708155909,-0.776813465427756
"Succinate",2,0.279723301693461,0.382514898427455,0.337761799879084,-1.08822503152124,-1.11748119519065,-0.770817663219596
"Taurine",2,0.257552945703484,0.491277734419053,0.251169319877464,-0.880597818106438,-0.736214737931117,-0.760478021950327
"Gluconate",3,0.269740198683131,0.336285988526179,0.39397381279069,-1.11031063197991,-1.06075279982164,-1.37561698462747
"Glycine",2,0.31601130653346,0.399668741884182,0.284319951582358,-0.5044686694761,-0.859362707016562,-0.780884391903879
"N6-Acetyllysine",1,0.371592881606985,0.350849205024953,0.277557913368062,-0.784864077640797,-0.295665322885976,-0.355156906468195
"Formate",2,0.273052237484901,0.38735412408338,0.339593638431719,-1.05766533530944,-1.01384793828254,-0.963748402380514
"Alanine",2,0.302947805932614,0.416530272780011,0.280521921287374,-0.720181518047892,-0.888242128767262,-0.575372084054888
"Lactate",2,0.278693380700678,0.442587175915335,0.278719443383987,-0.703326451999551,-0.865898857798759,-0.896919086864585
"3-Hydroxyisobutyrate",1,0.451015376422887,0.303246978143241,0.245737645433872,-0.190825209393424,-0.3775323940723,-0.541427663482229
"N-Acetylaspartate",2,0.320226120584107,0.40947569518777,0.270298184228122,-0.684695443737714,-0.577659094814019,-0.740934973254588
"Acetate",2,0.290318786238288,0.429144676798512,0.2805365369632,-0.667742195312059,-0.779260131180778,-0.935082016986804
"2-Methylglutarate",1,0.506128991705882,0.270174767040423,0.223696241253695,-0.147395579092538,-0.244210570959924,-0.432922009055869
"3-Aminoisobutyric acid",2,0.360783035933616,0.364410285999567,0.274806678066818,-0.370614402813632,-0.616888668627903,-0.739425144021608
"Trimethylamine",1,0.456785593453595,0.296655653661763,0.246558752884642,-0.342189511017896,-0.0678847734914722,-0.347441355398812
"Citramalic acid",2,0.323698780401496,0.394416062633221,0.281885156965283,-0.837723644086414,-0.684750328965668,-0.448497586997685
"Citrate",3,0.206869287294352,0.250505095143811,0.542625617561837,-1.36144087228952,-1.36562169805517,-1.2556713492006
"Lysine",1,0.460008924061199,0.300640855946152,0.239350219992649,-0.375682450684714,-0.329072357813369,-0.453085414845368
"Methylguanidine",1,0.514596549772328,0.267746763575845,0.217656686651827,-0.326986941217438,-0.243841003157461,-0.400431349366078
"2-Aminobutyrate",2,0.250409736311242,0.492537522568063,0.257052741120695,-0.895622224942814,-0.788223049476458,-0.846971419132934
"Propylene glycol",2,0.312788108727037,0.363586061924346,0.323625829348616,-1.48760461927409,-0.582051624315903,-0.500284545202127
