"Metabolite","HardCluster","Cluster_1","Cluster_2","Cluster_3","BPD_HC","BPD_No+Mild","BPD_M+S"
"N-Phenylacetylglycine",3,0.315840389008049,0.251277707721403,0.432881903270548,1.02527066839886,0.997321202709162,1.12460175006422
"4-Hydroxyphenylacetate",1,0.390422853440441,0.297195901479851,0.312381245079709,0.376033587342307,-0.00461562087881512,-0.258534844850583
"3-Methyl-2-oxovalerate",3,0.313830481757598,0.24886027851728,0.437309239725122,1.1931982860652,0.863648272230706,0.989724727023087
"Acetylsalicylate",3,0.323202208384949,0.260361613843515,0.416436177771536,0.965352838178119,1.11540641837188,1.25804130567263
"1-Methylnicotinamide",2,0.173848010344213,0.669251944269641,0.156900045386145,-0.887049912594817,-0.889914276942778,-1.02631124541996
"Creatine",3,0.333171596064198,0.286312655938683,0.380515747997119,1.90515651981349,1.49523627737511,1.60616040606054
"Hippurate",3,0.334058875520678,0.289203934925862,0.376737189553461,1.80353160149398,1.64767513129864,1.90469749807649
"2-Hydroxyisobutyrate",3,0.316109669309475,0.230907703435775,0.45298262725475,0.775757357591782,0.718358026662338,0.64711087405087
"N,N-Dimethylglycine",1,0.37160370947172,0.32726937221248,0.301126918315801,-0.351110976254285,-0.178360447962737,-0.0875865656227611
"Trigonelline",3,0.299876994842327,0.225253467208282,0.474869537949391,0.923673362241292,0.771721486278476,0.656345147893789
"Tyrosine",1,0.396306443266459,0.298406871920543,0.305286684812998,0.205842914426959,-0.225270485895266,-0.038604620367144
"Valine",3,0.366914155424461,0.254329316018763,0.378756528556776,0.761685342863378,0.497293931154957,0.368822792495473
"Sucrose",2,0.32096929010465,0.374387866990144,0.304642842905206,-1.52212824341764,-2.70175068608706,-2.43782155328874
"trans-Aconitate",2,0.322087217432042,0.371504824713198,0.306407957854759,-1.87205176836578,-2.95504757738675,-2.35165306648474
"Glutamine",1,0.481287675596007,0.23755513216184,0.281157192242154,0.199912588136634,0.287071166947745,0.194563958078555
"Succinate",1,0.394062090625522,0.284637331348013,0.321300578026464,-0.0730635071286043,-0.069813472913068,0.683882358598995
"Taurine",1,0.426380354918892,0.262197261295978,0.31142238378513,-0.00564586171409541,0.325582391691372,0.428235247044647
"Gluconate",1,0.41659515089313,0.283624344964504,0.299780504142367,0.0679248799604158,0.0900443985219752,-0.0370207938688698
"Glycine",1,0.43789945713327,0.251699554028146,0.310400988838583,0.435921843736944,0.0824533802232858,0.358002496956768
"N6-Acetyllysine",3,0.356535675645447,0.260171492182077,0.383292832172476,0.281710811980648,0.835822708222302,0.760461481097908
"Formate",1,0.418474979793021,0.282878065401271,0.298646954805708,0.0835106424314921,-0.0781796068257804,0.0989092497432583
"Alanine",1,0.434564699370155,0.249341458348324,0.316093842281521,0.315030909452182,0.175685260007023,0.517214658418479
"Lactate",1,0.545956797437249,0.206528168268111,0.247515034294639,0.268890360886527,0.170979630523251,0.290616120644716
"3-Hydroxyisobutyrate",3,0.308511884466258,0.234264096887503,0.457224018646239,0.979943458884126,0.601864258699932,0.884862408675645
"N-Acetylaspartate",1,0.414655051181629,0.2517610881406,0.33358386067777,0.332310923063958,0.503663002624028,0.351006327153759
"Acetate",1,0.427374860339517,0.2598475152578,0.312777624402683,0.306061879784701,0.403298570894456,0.0760404645728752
"2-Methylglutarate",3,0.276244108302157,0.211310883691455,0.512445008006388,0.958685552790771,0.774858431629941,0.86280597120201
"Trimethylamine",3,0.311524791569002,0.238836079957288,0.44963912847371,0.773847185399556,1.0186828243037,0.770259712976368
"Citrate",1,0.371836894727734,0.326423129686751,0.301739975585515,-0.389179261745722,-0.14303574429575,-0.0649942401528741
"Lysine",3,0.340061941522303,0.241387217505102,0.418550840972595,0.645616917206351,0.674642878153043,0.625000807454326
"Methylguanidine",3,0.302869131455105,0.22499249665129,0.472138371893605,0.733532200647698,0.815055860980218,0.747171809216732
"2-Aminobutyrate",1,0.542536371174328,0.20848421043592,0.248979418389752,0.198593368217641,0.219253546704553,0.301311244971429
