"Metabolite","HardCluster","Cluster_1","Cluster_2","Cluster_3","BPD_HC","BPD_No+Mild","BPD_M+S"
"N-Phenylacetylglycine",1,0.360489343734371,0.28178822415665,0.357722432108979,0.0247470160429631,0.0359735723675058,0.0785587170053855
"4-Hydroxyphenylacetate",2,0.201088978278678,0.570150381431943,0.22876064028938,-0.690636257538694,-0.998357708960563,-1.28549731193391
"Indoxyl sulfate",1,0.361166643872147,0.314747538833537,0.324085817294316,-0.247038958150239,-0.107708244005089,-0.235824419440187
"3-Methyl-2-oxovalerate",2,0.222308274580703,0.526754037146904,0.250937688272393,0.139459505689852,-0.0869413295341512,-0.363139705183758
"Acetylsalicylate",1,0.458805931203934,0.253170456037169,0.288023612758897,-0.0869459026004289,0.107049730196324,0.0626004254974246
"1-Methylnicotinamide",3,0.299605882203305,0.320661462528766,0.379732655267929,-1.70647145860546,-1.94624532226293,-1.72513750939335
"Creatine",2,0.278205775602863,0.386908666311844,0.334885558085293,0.89261642735565,0.509828088806406,0.550882480728713
"Hippurate",3,0.30908510810065,0.304935552870741,0.385979339028609,0.807012005486495,0.664699753357479,0.869940138998575
"2-Hydroxyisobutyrate",2,0.279042324059791,0.417190342122012,0.303767333818198,-0.2913190217608,-0.330726981148105,-0.581684483129908
"N,N-Dimethylglycine",1,0.459138208640101,0.246899167740235,0.293962623619664,-1.29637488044325,-1.13339426006148,-1.09463018662734
"Trigonelline",2,0.293090601028207,0.393962744722502,0.312946654249291,-0.055598617123336,-0.0355967473881582,-0.4424982971661
"Tyrosine",2,0.284927564097491,0.366343040389084,0.348729395513425,-0.849791124490613,-1.07731725250797,-1.0089796160681
"Valine",2,0.254666905146591,0.448537821043009,0.2967952738104,-0.247639433317624,-0.520848469204302,-0.618231065047209
"Sucrose",2,0.214436837570748,0.540437917361808,0.245125245067444,-2.72797765146229,-3.42960238064222,-3.98239944141202
"Pantothenic acid",1,0.513702040331903,0.224549869931782,0.261748089736315,-0.838853152416554,-0.790897494406571,-0.791430814605474
"trans-Aconitate",2,0.285899268764526,0.363212353057164,0.35088837817831,-3.23802130963725,-4.34155445398844,-3.97500493663174
"Glutamine",1,0.431081648286484,0.257968209847996,0.310950141865519,-0.83180675471103,-0.793354708155909,-0.776813465427756
"Succinate",3,0.340180217742769,0.28793456922954,0.371885213027691,-1.08822503152124,-1.11748119519065,-0.770817663219596
"Taurine",1,0.477130660615351,0.243639191100612,0.279230148284038,-0.880597818106438,-0.736214737931117,-0.760478021950327
"Gluconate",2,0.300397248144339,0.382810438784317,0.316792313071344,-1.11031063197991,-1.06075279982164,-1.37561698462747
"Glycine",2,0.282347594392114,0.374461562925986,0.3431908426819,-0.5044686694761,-0.859362707016562,-0.780884391903879
"N6-Acetyllysine",1,0.492176312347965,0.235957095981151,0.271866591670884,-0.784864077640797,-0.295665322885976,-0.355156906468195
"Formate",1,0.389405040804341,0.272828465906273,0.337766493289386,-1.05766533530944,-1.01384793828254,-0.963748402380514
"Alanine",3,0.315235889116251,0.299362857880591,0.385401253003158,-0.720181518047892,-0.888242128767262,-0.575372084054888
"Lactate",2,0.26453266657899,0.424068299389351,0.311399034031659,-0.703326451999551,-0.865898857798759,-0.896919086864585
"3-Hydroxyisobutyrate",2,0.204230092882004,0.563027308575542,0.232742598542454,-0.190825209393424,-0.3775323940723,-0.541427663482229
"N-Acetylaspartate",2,0.334102828155828,0.340112253360799,0.325784918483374,-0.684695443737714,-0.577659094814019,-0.740934973254588
"Acetate",2,0.233787461945191,0.503347899422958,0.262864638631851,-0.667742195312059,-0.779260131180778,-0.935082016986804
"2-Methylglutarate",2,0.252501048389635,0.466185124478393,0.281313827131972,-0.147395579092538,-0.244210570959924,-0.432922009055869
"3-Aminoisobutyric acid",2,0.244389323923766,0.472863147544159,0.282747528532076,-0.370614402813632,-0.616888668627903,-0.739425144021608
"Trimethylamine",1,0.354887659653955,0.320079113714378,0.325033226631668,-0.342189511017896,-0.0678847734914722,-0.347441355398812
"Citramalic acid",1,0.379726002155019,0.275940756907622,0.344333240937359,-0.837723644086414,-0.684750328965668,-0.448497586997685
"Citrate",3,0.34297696844382,0.287043252884256,0.369979778671924,-1.36144087228952,-1.36562169805517,-1.2556713492006
"Lysine",2,0.315202241971964,0.36230801551875,0.322489742509287,-0.375682450684714,-0.329072357813369,-0.453085414845368
"Methylguanidine",2,0.325733916617163,0.34941777875196,0.324848304630877,-0.326986941217438,-0.243841003157461,-0.400431349366078
"2-Aminobutyrate",1,0.397000718386398,0.288717361213077,0.314281920400525,-0.895622224942814,-0.788223049476458,-0.846971419132934
"Propylene glycol",1,0.493855133602775,0.232528472507636,0.273616393889589,-1.48760461927409,-0.582051624315903,-0.500284545202127
