"Metabolite","HardCluster","Cluster_1","Cluster_2","Cluster_3","BPD_HC","BPD_No+Mild","BPD_M+S"
"N-Phenylacetylglycine",1,0.412935112040995,0.282651562925359,0.304413325033646,1.02527066839886,0.997321202709162,1.12460175006422
"4-Hydroxyphenylacetate",3,0.305335590126487,0.324589715391842,0.370074694481672,0.376033587342307,-0.00461562087881512,-0.258534844850583
"3-Methyl-2-oxovalerate",3,0.245766662341381,0.232842119714224,0.521391217944394,1.1931982860652,0.863648272230706,0.989724727023087
"Acetylsalicylate",1,0.40828436763195,0.304890653405056,0.286824978962994,0.965352838178119,1.11540641837188,1.25804130567263
"1-Methylnicotinamide",2,0.3058967513224,0.364317632993659,0.329785615683942,-0.887049912594817,-0.889914276942778,-1.02631124541996
"Creatine",3,0.271359385247553,0.261681286501038,0.466959328251409,1.90515651981349,1.49523627737511,1.60616040606054
"Hippurate",1,0.368957905415218,0.289071649748365,0.341970444836417,1.80353160149398,1.64767513129864,1.90469749807649
"2-Hydroxyisobutyrate",3,0.306939574347522,0.33569708842841,0.357363337224067,0.775757357591782,0.718358026662338,0.64711087405087
"N,N-Dimethylglycine",1,0.39230012813123,0.317703370850744,0.289996501018027,-0.351110976254285,-0.178360447962737,-0.0875865656227611
"Trigonelline",3,0.305772196799168,0.326883358237571,0.367344444963261,0.923673362241292,0.771721486278476,0.656345147893789
"Tyrosine",3,0.241112816105836,0.226542422431533,0.532344761462631,0.205842914426959,-0.225270485895266,-0.038604620367144
"Valine",3,0.304089730117967,0.319220061619894,0.376690208262139,0.761685342863378,0.497293931154957,0.368822792495473
"Sucrose",3,0.277896547610261,0.269881522746562,0.452221929643177,-1.52212824341764,-2.70175068608706,-2.43782155328874
"trans-Aconitate",3,0.276935956794041,0.254765747106573,0.468298296099386,-1.87205176836578,-2.95504757738675,-2.35165306648474
"Glutamine",2,0.268197431728875,0.477849660439576,0.25395290783155,0.199912588136634,0.287071166947745,0.194563958078555
"Succinate",1,0.435707890106126,0.277318125429887,0.286973984463987,-0.0730635071286043,-0.069813472913068,0.683882358598995
"Taurine",1,0.38192128608759,0.326630956193793,0.291447757718617,-0.00564586171409541,0.325582391691372,0.428235247044647
"Gluconate",2,0.303359975536725,0.377945201020749,0.318694823442526,0.0679248799604158,0.0900443985219752,-0.0370207938688698
"Glycine",3,0.313004233214021,0.277052039304274,0.409943727481705,0.435921843736944,0.0824533802232858,0.358002496956768
"N6-Acetyllysine",1,0.354531717842747,0.35345839990227,0.292009882254983,0.281710811980648,0.835822708222302,0.760461481097908
"Formate",3,0.340894923870103,0.286619325446474,0.372485750683423,0.0835106424314921,-0.0781796068257804,0.0989092497432583
"Alanine",1,0.390549600153913,0.287075254097127,0.322375145748961,0.315030909452182,0.175685260007023,0.517214658418479
"Lactate",3,0.348938599495575,0.28800924595065,0.363052154553776,0.268890360886527,0.170979630523251,0.290616120644716
"3-Hydroxyisobutyrate",3,0.30927257857451,0.275216951538171,0.415510469887319,0.979943458884126,0.601864258699932,0.884862408675645
"N-Acetylaspartate",2,0.284402834410375,0.451277056732585,0.26432010885704,0.332310923063958,0.503663002624028,0.351006327153759
"Acetate",2,0.300557144551393,0.389120695710974,0.310322159737634,0.306061879784701,0.403298570894456,0.0760404645728752
"2-Methylglutarate",3,0.254149804440773,0.236975279198145,0.508874916361082,0.958685552790771,0.774858431629941,0.86280597120201
"Trimethylamine",2,0.271404115952508,0.472828078809658,0.255767805237834,0.773847185399556,1.0186828243037,0.770259712976368
"Citrate",1,0.382292782784179,0.32630143748271,0.291405779733111,-0.389179261745722,-0.14303574429575,-0.0649942401528741
"Lysine",2,0.287537141651563,0.427548429698249,0.284914428650189,0.645616917206351,0.674642878153043,0.625000807454326
"Methylguanidine",2,0.291135372946119,0.440228302478064,0.268636324575818,0.733532200647698,0.815055860980218,0.747171809216732
"2-Aminobutyrate",1,0.440507771889135,0.279652959686061,0.279839268424804,0.198593368217641,0.219253546704553,0.301311244971429
