"Metabolite","HardCluster","Cluster_1","Cluster_2","Cluster_3","Cluster_4","GA_>=37wk","GA_28-32wk","GA_<28wk","BPD_HC","BPD_No+Mild","BPD_M+S"
"N-Phenylacetylglycine",4,0.195016287308907,0.140393935545189,0.040876869192664,0.62371290795324,0.0247470160429631,0.0342289107133529,0.0703368086766995,0.0247470160429631,0.0359735723675058,0.0785587170053855
"4-Hydroxyphenylacetate",2,0.318025153697612,0.491034448919055,0.0477418667343265,0.143198530649006,-0.690636257538694,-1.20937864308352,-1.15375267300959,-0.690636257538694,-0.998357708960563,-1.28549731193391
"Indoxyl sulfate",4,0.122306258698263,0.0772816177192456,0.0184201635189151,0.781991960063577,-0.247038958150239,-0.299799623250873,-0.105257842337858,-0.247038958150239,-0.107708244005089,-0.235824419440187
"3-Methyl-2-oxovalerate",4,0.18195658089996,0.124590672697621,0.0331020731631212,0.660350673239298,0.139459505689852,-0.365837218086649,-0.165669502891274,0.139459505689852,-0.0869413295341512,-0.363139705183758
"Acetylsalicylate",4,0.198606986741515,0.142506725192035,0.0410487519399076,0.617837536126543,-0.0869459026004289,0.0808309768522392,0.0864762777696106,-0.0869459026004289,0.107049730196324,0.0626004254974246
"1-Methylnicotinamide",2,0.276082773832961,0.37555859383179,0.161237436671128,0.18712119566412,-1.70647145860546,-1.62625737090431,-1.9683077890812,-1.70647145860546,-1.94624532226293,-1.72513750939335
"Creatine",4,0.265331159744499,0.21863337585799,0.086541930095408,0.429493534302104,0.89261642735565,0.487838704182229,0.563515019492348,0.89261642735565,0.509828088806406,0.550882480728713
"Hippurate",4,0.269216664425153,0.225066680906112,0.0923877595985839,0.413328895070151,0.807012005486495,0.519761111369474,0.983969787677405,0.807012005486495,0.664699753357479,0.869940138998575
"2-Hydroxyisobutyrate",4,0.34321793413331,0.179825048813742,0.0349021091206755,0.442054907932272,-0.2913190217608,-0.536597813384825,-0.41230063242577,-0.2913190217608,-0.330726981148105,-0.581684483129908
"N,N-Dimethylglycine",2,0.252174552809733,0.574786313850611,0.0505642967142527,0.122474836625403,-1.29637488044325,-1.06375472929944,-1.16736670462619,-1.29637488044325,-1.13339426006148,-1.09463018662734
"Trigonelline",4,0.177062511136108,0.116776606024156,0.0292929021330286,0.676867980706707,-0.055598617123336,-0.129518566089872,-0.392730947048691,-0.055598617123336,-0.0355967473881582,-0.4424982971661
"Tyrosine",2,0.227697406477347,0.662321750039463,0.0263230058342675,0.0836578376489221,-0.849791124490613,-1.18812822158465,-0.922787695262328,-0.849791124490613,-1.07731725250797,-1.0089796160681
"Valine",1,0.399177649601791,0.204982244300842,0.0377323176343978,0.358107788462969,-0.247639433317624,-0.577255264655385,-0.575197037646623,-0.247639433317624,-0.520848469204302,-0.618231065047209
"Sucrose",3,0.0887935584903814,0.0990742863267396,0.737217211113516,0.0749149440693633,-2.72797765146229,-3.43709531529868,-4.04129317848406,-2.72797765146229,-3.42960238064222,-3.98239944141202
"Pantothenic acid",1,0.570242093976702,0.308587662914796,0.0227197407729323,0.0984505023355697,-0.838853152416554,-0.84801573363294,-0.730545870755815,-0.838853152416554,-0.790897494406571,-0.791430814605474
"trans-Aconitate",3,0.0772543262261835,0.0850097089565351,0.771281465571561,0.0664544992457201,-3.23802130963725,-4.40737500250296,-3.9093835505334,-3.23802130963725,-4.34155445398844,-3.97500493663174
"Glutamine",1,0.583551003226866,0.294293316062116,0.0226704343770134,0.0994852463340041,-0.83180675471103,-0.80424794119093,-0.757180188773148,-0.83180675471103,-0.793354708155909,-0.776813465427756
"Succinate",2,0.267667803392136,0.595157217891751,0.0331129456280457,0.104062033088068,-1.08822503152124,-1.13840165426763,-0.692594876519012,-1.08822503152124,-1.11748119519065,-0.770817663219596
"Taurine",1,0.565775811197776,0.305168765879448,0.0239677913950601,0.105087631527716,-0.880597818106438,-0.856017749948276,-0.674448846709854,-0.880597818106438,-0.736214737931117,-0.760478021950327
"Gluconate",2,0.273381746684218,0.528644098571916,0.0591427097881633,0.138831444955703,-1.11031063197991,-1.09982756328878,-1.40106635603109,-1.11031063197991,-1.06075279982164,-1.37561698462747
"Glycine",1,0.530317117230729,0.275410729940609,0.032673015732463,0.161599137096199,-0.5044686694761,-1.05097821010113,-0.602663923028397,-0.5044686694761,-0.859362707016562,-0.780884391903879
"N6-Acetyllysine",1,0.401277864402239,0.228860867306145,0.0422480576184923,0.327613210673124,-0.784864077640797,-0.301807867133006,-0.344259346523625,-0.784864077640797,-0.295665322885976,-0.355156906468195
"Formate",2,0.161051141670163,0.757444739336336,0.0201121936179602,0.0613919253755404,-1.05766533530944,-1.18137038798505,-0.800666663145762,-1.05766533530944,-1.01384793828254,-0.963748402380514
"Alanine",1,0.541035716188285,0.278785526007467,0.0309039382641976,0.14927481954005,-0.720181518047892,-1.01769620739584,-0.431791871186022,-0.720181518047892,-0.888242128767262,-0.575372084054888
"Lactate",1,0.49967573234761,0.35689172001125,0.0275892580301147,0.115843289611025,-0.703326451999551,-1.0415588835423,-0.699823590229827,-0.703326451999551,-0.865898857798759,-0.896919086864585
"3-Hydroxyisobutyrate",4,0.31263993990652,0.176692069866461,0.0362550836445984,0.474412906582421,-0.190825209393424,-0.655852673265,-0.274831497862258,-0.190825209393424,-0.3775323940723,-0.541427663482229
"N-Acetylaspartate",1,0.696145775274239,0.16837370415981,0.0201851613310082,0.115295359234942,-0.684695443737714,-0.647934524297184,-0.697736372752937,-0.684695443737714,-0.577659094814019,-0.740934973254588
"Acetate",1,0.476387995369234,0.33887322430897,0.03483140228446,0.149907378037336,-0.667742195312059,-0.689064559119412,-1.04431564034078,-0.667742195312059,-0.779260131180778,-0.935082016986804
"2-Methylglutarate",4,0.193464671419939,0.116730198868982,0.0262901450434186,0.663514984667661,-0.147395579092538,-0.442788299989259,-0.245828161748035,-0.147395579092538,-0.244210570959924,-0.432922009055869
"3-Aminoisobutyric acid",1,0.50231523719378,0.222757720384101,0.0345953347053722,0.240331707716747,-0.370614402813632,-0.661179920650379,-0.702377905020721,-0.370614402813632,-0.616888668627903,-0.739425144021608
"Trimethylamine",4,0.194266623644189,0.118809387880001,0.0270229502498226,0.659901038225987,-0.342189511017896,-0.292294009004773,-0.175433800912922,-0.342189511017896,-0.0678847734914722,-0.347441355398812
"Citramalic acid",1,0.521948308678397,0.253006264425048,0.0341624286776282,0.190882998218927,-0.837723644086414,-0.745634921917583,-0.318868307969957,-0.837723644086414,-0.684750328965668,-0.448497586997685
"Citrate",2,0.27037082048694,0.509634905088456,0.0730811599465526,0.146913114478052,-1.36144087228952,-1.26329590231861,-1.302429078116,-1.36144087228952,-1.36562169805517,-1.2556713492006
