"Metabolite","HardCluster","Cluster_1","Cluster_2","Cluster_3","Cluster_4","GA_>=37wk","GA_28-32wk","GA_<28wk","BPD_HC","BPD_No+Mild","BPD_M+S"
"N-Phenylacetylglycine",2,0.150017170818463,0.70147691203179,0.0378481538206465,0.110657763329101,1.02527066839886,1.00700375796732,1.1171939282249,1.02527066839886,0.997321202709162,1.12460175006422
"4-Hydroxyphenylacetate",4,0.300204874259363,0.146060360432362,0.065904531121109,0.487830234187166,0.376033587342307,-0.130876529179668,-0.212350611264278,0.376033587342307,-0.00461562087881512,-0.258534844850583
"3-Methyl-2-oxovalerate",2,0.15506779981614,0.691857904883639,0.038711241900156,0.114363053400065,1.1931982860652,0.708751118419668,1.13879465324296,1.1931982860652,0.863648272230706,0.989724727023087
"Acetylsalicylate",2,0.195531379481918,0.604717167439461,0.0525087724046239,0.147242680673997,0.965352838178119,1.07966435933465,1.29840392652556,0.965352838178119,1.11540641837188,1.25804130567263
"1-Methylnicotinamide",4,0.25761478516349,0.182243817779919,0.235107865816451,0.32503353124014,-0.887049912594817,-0.895322033056303,-1.04538228068721,-0.887049912594817,-0.889914276942778,-1.02631124541996
"Creatine",2,0.254230126818752,0.434381042946097,0.0972552436368966,0.214133586598254,1.90515651981349,1.41147872979186,1.6841509964964,1.90515651981349,1.49523627737511,1.60616040606054
"Hippurate",2,0.258580215310517,0.418990836399748,0.102888615462793,0.219540332826941,1.80353160149398,1.4956903097801,2.02936575312817,1.80353160149398,1.64767513129864,1.90469749807649
"2-Hydroxyisobutyrate",2,0.302837554859935,0.464973987290531,0.048065956297332,0.184122501552202,0.775757357591782,0.566074450641164,0.770018331144745,0.775757357591782,0.718358026662338,0.64711087405087
"N,N-Dimethylglycine",4,0.276453279209336,0.141427149519783,0.0812054040929314,0.50091416717795,-0.351110976254285,-0.209132383031734,-0.0345429759518455,-0.351110976254285,-0.178360447962737,-0.0875865656227611
"Trigonelline",2,0.236749116658227,0.563445455488893,0.0440659172655701,0.155739510587311,0.923673362241292,0.590685090644642,0.843350631068767,0.923673362241292,0.771721486278476,0.656345147893789
"Tyrosine",4,0.244993538865386,0.108963501444891,0.0506904049946564,0.595352554695067,0.205842914426959,-0.169539669926781,-0.0734541913018184,0.205842914426959,-0.225270485895266,-0.038604620367144
"Valine",1,0.418035868666554,0.284392593736245,0.0534949204171294,0.244076617180072,0.761685342863378,0.436929010469854,0.395641817259246,0.761685342863378,0.497293931154957,0.368822792495473
"Sucrose",3,0.0535272014445196,0.0445771958146929,0.842355040865454,0.0595405618753338,-1.52212824341764,-2.72366937760625,-2.41543773963364,-1.52212824341764,-2.70175068608706,-2.43782155328874
"trans-Aconitate",3,0.0624589901308885,0.0523984437220133,0.816132305773579,0.0690102603735188,-1.87205176836578,-3.01271377565321,-2.21852932556444,-1.87205176836578,-2.95504757738675,-2.35165306648474
"Glutamine",1,0.508091025073349,0.106065804864808,0.0346538106345273,0.351189359427316,0.199912588136634,0.133165401777869,0.303925605582796,0.199912588136634,0.287071166947745,0.194563958078555
"Succinate",1,0.385537216879855,0.192576542043057,0.0715196913619738,0.350366549715114,-0.0730635071286043,-0.193209411829093,0.881825165591035,-0.0730635071286043,-0.069813472913068,0.683882358598995
"Taurine",1,0.482089450224738,0.144174388692539,0.046456063704887,0.327280097377836,-0.00564586171409541,0.234844489693555,0.484223697929089,-0.00564586171409541,0.325582391691372,0.428235247044647
