"Metabolite","HardCluster","Cluster_1","Cluster_2","Cluster_3","Cluster_4","GA_>=37wk","GA_28-32wk","GA_<28wk","BPD_HC","BPD_No+Mild","BPD_M+S"
"N-Phenylacetylglycine",2,0.133077033868543,0.408513252673452,0.157438281403735,0.30097143205427,0.0247470160429631,0.0342289107133529,0.0703368086766995,0.0247470160429631,0.0359735723675058,0.0785587170053855
"4-Hydroxyphenylacetate",1,0.558893281900599,0.0898772488447207,0.266494232735075,0.0847352365196053,-0.690636257538694,-1.20937864308352,-1.15375267300959,-0.690636257538694,-0.998357708960563,-1.28549731193391
"Indoxyl sulfate",2,0.162865813390164,0.387246510447029,0.203604884474599,0.246282791688208,-0.247038958150239,-0.299799623250873,-0.105257842337858,-0.247038958150239,-0.107708244005089,-0.235824419440187
"3-Methyl-2-oxovalerate",3,0.386501164165661,0.10797614183018,0.408490402033849,0.09703229197031,0.139459505689852,-0.365837218086649,-0.165669502891274,0.139459505689852,-0.0869413295341512,-0.363139705183758
"Acetylsalicylate",4,0.0895379713488577,0.192678126424447,0.0917785318318376,0.626005370394857,-0.0869459026004289,0.0808309768522392,0.0864762777696106,-0.0869459026004289,0.107049730196324,0.0626004254974246
"1-Methylnicotinamide",1,0.316975945376016,0.201379523321706,0.249487275340626,0.232157255961652,-1.70647145860546,-1.62625737090431,-1.9683077890812,-1.70647145860546,-1.94624532226293,-1.72513750939335
"Creatine",1,0.383996131909794,0.123496200858759,0.379451483628174,0.113056183603273,0.89261642735565,0.487838704182229,0.563515019492348,0.89261642735565,0.509828088806406,0.550882480728713
"Hippurate",2,0.187483701249336,0.316608349295016,0.302600685045163,0.193307264410485,0.807012005486495,0.519761111369474,0.983969787677405,0.807012005486495,0.664699753357479,0.869940138998575
"2-Hydroxyisobutyrate",1,0.371687319895698,0.136788554557842,0.367745341067146,0.123778784479314,-0.2913190217608,-0.536597813384825,-0.41230063242577,-0.2913190217608,-0.330726981148105,-0.581684483129908
"N,N-Dimethylglycine",4,0.131873792960666,0.21690930150371,0.128696494834678,0.522520410700946,-1.29637488044325,-1.06375472929944,-1.16736670462619,-1.29637488044325,-1.13339426006148,-1.09463018662734
"Trigonelline",1,0.4535418001504,0.149402700647415,0.231886442284373,0.165169056917811,-0.055598617123336,-0.129518566089872,-0.392730947048691,-0.055598617123336,-0.0355967473881582,-0.4424982971661
"Tyrosine",3,0.209330979070911,0.141377726278086,0.537306350578545,0.111984944072458,-0.849791124490613,-1.18812822158465,-0.922787695262328,-0.849791124490613,-1.07731725250797,-1.0089796160681
"Valine",1,0.538892747058599,0.0958834774693752,0.274254004137246,0.0909697713347797,-0.247639433317624,-0.577255264655385,-0.575197037646623,-0.247639433317624,-0.520848469204302,-0.618231065047209
