"Metabolite","HardCluster","Cluster_1","Cluster_2","Cluster_3","Cluster_4","GA_>=37wk","GA_28-32wk","GA_<28wk","BPD_HC","BPD_No+Mild","BPD_M+S"
"N-Phenylacetylglycine",3,0.163513600778489,0.208099615722686,0.369469715743722,0.258917067755102,1.02527066839886,1.00700375796732,1.1171939282249,1.02527066839886,0.997321202709162,1.12460175006422
"4-Hydroxyphenylacetate",1,0.714608310279846,0.0935969422598306,0.071398673094752,0.120396074365571,0.376033587342307,-0.130876529179668,-0.212350611264278,0.376033587342307,-0.00461562087881512,-0.258534844850583
"3-Methyl-2-oxovalerate",4,0.154160166876607,0.106987806327176,0.0982797701331935,0.640572256663023,1.1931982860652,0.708751118419668,1.13879465324296,1.1931982860652,0.863648272230706,0.989724727023087
"Acetylsalicylate",3,0.0697316336649527,0.122660250353857,0.718739695299061,0.0888684206821295,0.965352838178119,1.07966435933465,1.29840392652556,0.965352838178119,1.11540641837188,1.25804130567263
"1-Methylnicotinamide",1,0.392706654498427,0.239009132955139,0.169748227703428,0.198535984843007,-0.887049912594817,-0.895322033056303,-1.04538228068721,-0.887049912594817,-0.889914276942778,-1.02631124541996
"Creatine",4,0.301307914245903,0.146766207480713,0.12904788060761,0.422877997665775,1.90515651981349,1.41147872979186,1.6841509964964,1.90515651981349,1.49523627737511,1.60616040606054
"Hippurate",4,0.171540066961841,0.195228770878574,0.238246692550284,0.394984469609301,1.80353160149398,1.4956903097801,2.02936575312817,1.80353160149398,1.64767513129864,1.90469749807649
"2-Hydroxyisobutyrate",4,0.262396653863314,0.210922197635162,0.162367299648296,0.364313848853229,0.775757357591782,0.566074450641164,0.770018331144745,0.775757357591782,0.718358026662338,0.64711087405087
"N,N-Dimethylglycine",3,0.0782389173179873,0.145806016179646,0.68034023131475,0.0956148351876163,-0.351110976254285,-0.209132383031734,-0.0345429759518455,-0.351110976254285,-0.178360447962737,-0.0875865656227611
"Trigonelline",4,0.32562652447444,0.189220397354933,0.145801980105951,0.339351098064676,0.923673362241292,0.590685090644642,0.843350631068767,0.923673362241292,0.771721486278476,0.656345147893789
"Tyrosine",1,0.353615425782444,0.156001933012607,0.14120097419732,0.349181667007628,0.205842914426959,-0.169539669926781,-0.0734541913018184,0.205842914426959,-0.225270485895266,-0.038604620367144
