"Metabolite","HardCluster","Cluster_1","Cluster_2","Cluster_3","GA_>=37wk","GA_28-32wk","GA_<28wk"
"N-Phenylacetylglycine",2,0.279151963677994,0.403404152717439,0.317443883604567,0.0247470160429631,0.0342289107133529,0.0703368086766995
"4-Hydroxyphenylacetate",3,0.347077795911604,0.289055961949664,0.363866242138732,-0.690636257538694,-1.20937864308352,-1.15375267300959
"Indoxyl sulfate",2,0.246897027099251,0.459943258421878,0.293159714478871,-0.247038958150239,-0.299799623250873,-0.105257842337858
"3-Methyl-2-oxovalerate",2,0.268907596032636,0.419681786225487,0.311410617741877,0.139459505689852,-0.365837218086649,-0.165669502891274
"Acetylsalicylate",2,0.279436930224948,0.402411990417388,0.318151079357664,-0.0869459026004289,0.0808309768522392,0.0864762777696106
"1-Methylnicotinamide",1,0.393120439567607,0.286314755112173,0.32056480532022,-1.70647145860546,-1.62625737090431,-1.9683077890812
"Creatine",2,0.302783058484504,0.368750027380859,0.328466914134636,0.89261642735565,0.487838704182229,0.563515019492348
"Hippurate",2,0.304958914439527,0.365549252136149,0.329491833424323,0.807012005486495,0.519761111369474,0.983969787677405
"2-Hydroxyisobutyrate",2,0.246460461529774,0.446090274174627,0.3074492642956,-0.2913190217608,-0.536597813384825,-0.41230063242577
"N,N-Dimethylglycine",1,0.414183211167597,0.259504037937659,0.326312750894743,-1.29637488044325,-1.06375472929944,-1.16736670462619
"Trigonelline",2,0.264879005355724,0.426319332971125,0.308801661673151,-0.055598617123336,-0.129518566089872,-0.392730947048691
"Tyrosine",3,0.332389705388162,0.279491169229923,0.388119125381916,-0.849791124490613,-1.18812822158465,-0.922787695262328
"Valine",2,0.265839126320177,0.402155333282059,0.332005540397764,-0.247639433317624,-0.577255264655385,-0.575197037646623
"Sucrose",1,0.351615333390561,0.316676022344297,0.331708644265142,-2.72797765146229,-3.43709531529868,-4.04129317848406
"Pantothenic acid",3,0.225003205363457,0.227630939589414,0.547365855047129,-0.838853152416554,-0.84801573363294,-0.730545870755815
"trans-Aconitate",1,0.348844151189059,0.31887614315875,0.332279705652192,-3.23802130963725,-4.40737500250296,-3.9093835505334
"Glutamine",3,0.252983947157553,0.257736680404769,0.489279372437678,-0.83180675471103,-0.80424794119093,-0.757180188773148
"Succinate",3,0.326492181337228,0.281905305714225,0.391602512948547,-1.08822503152124,-1.13840165426763,-0.692594876519012
"Taurine",3,0.250128204284879,0.253690958523766,0.496180837191355,-0.880597818106438,-0.856017749948276,-0.674448846709854
"Gluconate",1,0.418680939992777,0.26145218087093,0.319866879136293,-1.11031063197991,-1.09982756328878,-1.40106635603109
"Glycine",3,0.289038691880311,0.321664385352235,0.389296922767454,-0.5044686694761,-1.05097821010113,-0.602663923028397
"N6-Acetyllysine",2,0.279613191731626,0.374101610782747,0.346285197485627,-0.784864077640797,-0.301807867133006,-0.344259346523625
"Formate",3,0.338326258709407,0.277267063520486,0.384406677770107,-1.05766533530944,-1.18137038798505,-0.800666663145762
"Alanine",3,0.285965594705008,0.315912378985885,0.398122026309107,-0.720181518047892,-1.01769620739584,-0.431791871186022
"Lactate",3,0.282917295825006,0.286104898154364,0.43097780602063,-0.703326451999551,-1.0415588835423,-0.699823590229827
"3-Hydroxyisobutyrate",2,0.257070720982879,0.428620059546144,0.314309219470976,-0.190825209393424,-0.655852673265,-0.274831497862258
"N-Acetylaspartate",3,0.274934629954154,0.320701878018436,0.40436349202741,-0.684695443737714,-0.647934524297184,-0.697736372752937
"Acetate",3,0.305756779731791,0.308303949702837,0.385939270565371,-0.667742195312059,-0.689064559119412,-1.04431564034078
"2-Methylglutarate",2,0.234081478090674,0.485095429609788,0.280823092299538,-0.147395579092538,-0.442788299989259,-0.245828161748035
"3-Aminoisobutyric acid",2,0.277471684697178,0.362042692209109,0.360485623093713,-0.370614402813632,-0.661179920650379,-0.702377905020721
"Trimethylamine",2,0.241559835391958,0.468414260076844,0.290025904531198,-0.342189511017896,-0.292294009004773,-0.175433800912922
"Citramalic acid",3,0.282669859969144,0.336604478452172,0.380725661578684,-0.837723644086414,-0.745634921917583,-0.318868307969957
"Citrate",1,0.533753769666028,0.210842890215822,0.25540334011815,-1.36144087228952,-1.26329590231861,-1.302429078116
"Lysine",2,0.241905687532423,0.458151785929432,0.299942526538146,-0.375682450684714,-0.392053020597604,-0.408275611194604
"Methylguanidine",2,0.21047010390972,0.532397171525257,0.257132724565023,-0.326986941217438,-0.384009036142849,-0.292792358549001
"2-Aminobutyrate",3,0.249831405039349,0.243639041218649,0.506529553742002,-0.895622224942814,-0.897142125542069,-0.727357000906201
"Propylene glycol",3,0.332928557553062,0.311858929938994,0.355212512507944,-1.48760461927409,-1.24418684129569,-0.166679114747258
