"Metabolite","HardCluster","Cluster_1","Cluster_2","Cluster_3","GA_>=37wk","GA_28-32wk","GA_<28wk"
"N-Phenylacetylglycine",3,0.316455723794587,0.252099495049019,0.431444781156394,1.02527066839886,1.00700375796732,1.1171939282249
"4-Hydroxyphenylacetate",1,0.386918195559915,0.300814103866173,0.312267700573911,0.376033587342307,-0.130876529179668,-0.212350611264278
"3-Methyl-2-oxovalerate",3,0.315743668747523,0.250377421145524,0.433878910106953,1.1931982860652,0.708751118419668,1.13879465324296
"Acetylsalicylate",3,0.3232438528721,0.26052352692346,0.41623262020444,0.965352838178119,1.07966435933465,1.29840392652556
"1-Methylnicotinamide",2,0.183190473077926,0.651314488671478,0.165495038250596,-0.887049912594817,-0.895322033056303,-1.04538228068721
"Creatine",3,0.333220672298935,0.286261721838791,0.380517605862274,1.90515651981349,1.41147872979186,1.6841509964964
"Hippurate",3,0.334133453475351,0.289006719615763,0.376859826908886,1.80353160149398,1.4956903097801,2.02936575312817
"2-Hydroxyisobutyrate",3,0.3166400714791,0.230241670759417,0.453118257761483,0.775757357591782,0.566074450641164,0.770018331144745
"N,N-Dimethylglycine",1,0.373551515877695,0.324603959009546,0.301844525112759,-0.351110976254285,-0.209132383031734,-0.0345429759518455
"Trigonelline",3,0.288327996976439,0.216145222438509,0.495526780585052,0.923673362241292,0.590685090644642,0.843350631068767
"Tyrosine",1,0.398404579742964,0.296356788479944,0.305238631777092,0.205842914426959,-0.169539669926781,-0.0734541913018184
"Valine",3,0.368008855541529,0.256455504670932,0.37553563978754,0.761685342863378,0.436929010469854,0.395641817259246
"Sucrose",2,0.320899610694287,0.374571774489058,0.304528614816655,-1.52212824341764,-2.72366937760625,-2.41543773963364
"trans-Aconitate",2,0.3221293038586,0.371589483362002,0.306281212779398,-1.87205176836578,-3.01271377565321,-2.21852932556444
"Glutamine",1,0.523993707854062,0.218366472375491,0.257639819770447,0.199912588136634,0.133165401777869,0.303925605582796
"Succinate",1,0.385893417718496,0.285950526654499,0.328156055627005,-0.0730635071286043,-0.193209411829093,0.881825165591035
"Taurine",1,0.4289815584282,0.261081715104685,0.309936726467115,-0.00564586171409541,0.234844489693555,0.484223697929089
"Gluconate",1,0.405595372262021,0.28977999924041,0.304624628497569,0.0679248799604158,0.0930498350147527,-0.0660494785108961
"Glycine",1,0.445833187419986,0.246428009483315,0.307738803096699,0.435921843736944,0.0593699961287282,0.397556167920636
"N6-Acetyllysine",3,0.356601022922412,0.262112373947047,0.381286603130541,0.281710811980648,0.831922650099072,0.749295034499806
"Formate",1,0.421581383386153,0.280542047246689,0.297876569367158,0.0835106424314921,-0.0986390225815252,0.121249819650563
"Alanine",1,0.445472447571509,0.242727298952377,0.311800253476114,0.315030909452182,0.161697744282381,0.539245508609195
"Lactate",1,0.497322723503214,0.227929107265999,0.274748169230786,0.268890360886527,0.0431251396243167,0.416419148863627
"3-Hydroxyisobutyrate",3,0.312260262572622,0.237937976078629,0.449801761348749,0.979943458884126,0.478335628312761,1.03012909170452
"N-Acetylaspartate",1,0.415985100397384,0.252201771232264,0.331813128370352,0.332310923063958,0.41498836076711,0.401256272564514
"Acetate",1,0.405233417979177,0.27335003728163,0.321416544739193,0.306061879784701,0.387864373693538,0.0224219800565998
"2-Methylglutarate",3,0.275154614242867,0.210463307723958,0.514382078033175,0.958685552790771,0.683734661215788,0.949762303730174
"Trimethylamine",3,0.295303748249278,0.223654614227232,0.48104163752349,0.773847185399556,0.788853667259388,0.919009542822239
"Citrate",1,0.373679322999433,0.323371624624699,0.302949052375868,-0.389179261745722,-0.282543099157464,0.0851606125898032
"Lysine",3,0.343205876277338,0.245459678603787,0.411334445118875,0.645616917206351,0.661553784558738,0.624841650089098
"Methylguanidine",3,0.306141091157428,0.226902421587262,0.46695648725531,0.733532200647698,0.717794957181189,0.81460380225895
"2-Aminobutyrate",1,0.500197188790626,0.226897754127866,0.272905057081508,0.198593368217641,0.0867701203118689,0.438439727613484
