"Metabolite","HardCluster","Cluster_1","Cluster_2","Cluster_3","GA_>=37wk","GA_28-32wk","GA_<28wk"
"N-Phenylacetylglycine",1,0.558974462781589,0.230791711241644,0.210233825976768,0.0247470160429631,0.0342289107133529,0.0703368086766995
"4-Hydroxyphenylacetate",2,0.283212307750026,0.377494636277784,0.33929305597219,-0.690636257538694,-1.20937864308352,-1.15375267300959
"Indoxyl sulfate",1,0.409625661684351,0.320684876539836,0.269689461775813,-0.247038958150239,-0.299799623250873,-0.105257842337858
"3-Methyl-2-oxovalerate",2,0.276176844163203,0.421969922546798,0.301853233289999,0.139459505689852,-0.365837218086649,-0.165669502891274
"Acetylsalicylate",1,0.380070844298695,0.307768754968204,0.312160400733101,-0.0869459026004289,0.0808309768522392,0.0864762777696106
"1-Methylnicotinamide",3,0.273777468673976,0.287906251905318,0.438316279420706,-1.70647145860546,-1.62625737090431,-1.9683077890812
"Creatine",2,0.282589924114708,0.38715891831952,0.330251157565772,0.89261642735565,0.487838704182229,0.563515019492348
"Hippurate",2,0.349990478890982,0.369320019876688,0.280689501232331,0.807012005486495,0.519761111369474,0.983969787677405
"2-Hydroxyisobutyrate",2,0.267657601146967,0.450038459714402,0.282303939138631,-0.2913190217608,-0.536597813384825,-0.41230063242577
"N,N-Dimethylglycine",1,0.351069175275588,0.312052777337319,0.336878047387093,-1.29637488044325,-1.06375472929944,-1.16736670462619
"Trigonelline",3,0.243588280812524,0.270098446772406,0.486313272415069,-0.055598617123336,-0.129518566089872,-0.392730947048691
"Tyrosine",2,0.258219398311653,0.491768441497427,0.25001216019092,-0.849791124490613,-1.18812822158465,-0.922787695262328
"Valine",2,0.283177943291181,0.367049564075696,0.349772492633123,-0.247639433317624,-0.577255264655385,-0.575197037646623
"Sucrose",3,0.270805760908922,0.316628818287925,0.412565420803152,-2.72797765146229,-3.43709531529868,-4.04129317848406
"Pantothenic acid",1,0.458121104260168,0.289385697064225,0.252493198675607,-0.838853152416554,-0.84801573363294,-0.730545870755815
"trans-Aconitate",2,0.27437454971082,0.428606988015779,0.297018462273402,-3.23802130963725,-4.40737500250296,-3.9093835505334
"Glutamine",1,0.466287858672019,0.275958604245504,0.257753537082477,-0.83180675471103,-0.80424794119093,-0.757180188773148
"Succinate",1,0.447861182794708,0.295659781037171,0.256479036168121,-1.08822503152124,-1.13840165426763,-0.692594876519012
"Taurine",1,0.563399194023289,0.229949328881843,0.206651477094868,-0.880597818106438,-0.856017749948276,-0.674448846709854
"Gluconate",3,0.253679709080602,0.272912598975084,0.473407691944315,-1.11031063197991,-1.09982756328878,-1.40106635603109
"Glycine",2,0.266106223697472,0.478922003716551,0.254971772585977,-0.5044686694761,-1.05097821010113,-0.602663923028397
"N6-Acetyllysine",1,0.37267907153604,0.309337176340752,0.317983752123208,-0.784864077640797,-0.301807867133006,-0.344259346523625
"Formate",1,0.398851195436389,0.328383810585324,0.272764993978287,-1.05766533530944,-1.18137038798505,-0.800666663145762
"Alanine",1,0.366952914309039,0.353737112445826,0.279309973245135,-0.720181518047892,-1.01769620739584,-0.431791871186022
"Lactate",2,0.298730737536027,0.429440681228128,0.271828581235844,-0.703326451999551,-1.0415588835423,-0.699823590229827
"3-Hydroxyisobutyrate",2,0.265897357642658,0.479260025258481,0.254842617098861,-0.190825209393424,-0.655852673265,-0.274831497862258
"N-Acetylaspartate",3,0.310645914089928,0.306897877595849,0.382456208314223,-0.684695443737714,-0.647934524297184,-0.697736372752937
"Acetate",3,0.245077399202041,0.266268646326631,0.488653954471328,-0.667742195312059,-0.689064559119412,-1.04431564034078
"2-Methylglutarate",2,0.246625165001011,0.50602331090289,0.247351524096099,-0.147395579092538,-0.442788299989259,-0.245828161748035
"3-Aminoisobutyric acid",3,0.282044727704689,0.354404049740266,0.363551222555045,-0.370614402813632,-0.661179920650379,-0.702377905020721
"Trimethylamine",1,0.494231637150877,0.262887558888878,0.242880803960245,-0.342189511017896,-0.292294009004773,-0.175433800912922
"Citramalic acid",1,0.590525766821911,0.214758929836533,0.194715303341556,-0.837723644086414,-0.745634921917583,-0.318868307969957
"Citrate",1,0.35381495486428,0.311883533272776,0.334301511862943,-1.36144087228952,-1.26329590231861,-1.302429078116
"Lysine",3,0.268472343820246,0.311674076171587,0.419853580008167,-0.375682450684714,-0.392053020597604,-0.408275611194604
"Methylguanidine",2,0.349061058148096,0.370226303362421,0.280712638489483,-0.326986941217438,-0.384009036142849,-0.292792358549001
"2-Aminobutyrate",1,0.482118761208562,0.27519578572503,0.242685453066408,-0.895622224942814,-0.897142125542069,-0.727357000906201
"Propylene glycol",1,0.584116159669011,0.218012690163114,0.197871150167874,-1.48760461927409,-1.24418684129569,-0.166679114747258
