"Metabolite","HardCluster","Cluster_1","Cluster_2","Cluster_3","GA_>=37wk","GA_28-32wk","GA_<28wk"
"N-Phenylacetylglycine",1,0.517780494189244,0.218266134625046,0.263953371185709,1.02527066839886,1.00700375796732,1.1171939282249
"4-Hydroxyphenylacetate",2,0.304507370679447,0.348966204386486,0.346526424934067,0.376033587342307,-0.130876529179668,-0.212350611264278
"3-Methyl-2-oxovalerate",3,0.239918064868784,0.207980762195297,0.552101172935919,1.1931982860652,0.708751118419668,1.13879465324296
"Acetylsalicylate",1,0.408913980040505,0.282314923096068,0.308771096863426,0.965352838178119,1.07966435933465,1.29840392652556
"1-Methylnicotinamide",2,0.262191129631999,0.463833114955734,0.273975755412267,-0.887049912594817,-0.895322033056303,-1.04538228068721
"Creatine",3,0.301543631395517,0.287866529350588,0.410589839253895,1.90515651981349,1.41147872979186,1.6841509964964
"Hippurate",1,0.369953392327565,0.26234752015068,0.367699087521754,1.80353160149398,1.4956903097801,2.02936575312817
"2-Hydroxyisobutyrate",3,0.261677191261049,0.221601891772372,0.51672091696658,0.775757357591782,0.566074450641164,0.770018331144745
"N,N-Dimethylglycine",1,0.396391694425272,0.291349784261636,0.312258521313092,-0.351110976254285,-0.209132383031734,-0.0345429759518455
"Trigonelline",3,0.282108418193722,0.253655964342921,0.464235617463357,0.923673362241292,0.590685090644642,0.843350631068767
"Tyrosine",3,0.307310456420567,0.31889607707358,0.373793466505854,0.205842914426959,-0.169539669926781,-0.0734541913018184
"Valine",3,0.30488656027736,0.346948388395953,0.348165051326687,0.761685342863378,0.436929010469854,0.395641817259246
"Sucrose",3,0.30730920305666,0.318846681091981,0.373844115851359,-1.52212824341764,-2.72366937760625,-2.41543773963364
"trans-Aconitate",3,0.290890681681602,0.26631697293184,0.442792345386558,-1.87205176836578,-3.01271377565321,-2.21852932556444
"Glutamine",1,0.414543207743321,0.255321167844577,0.330135624412102,0.199912588136634,0.133165401777869,0.303925605582796
"Succinate",1,0.543301965447671,0.208129854947007,0.248568179605322,-0.0730635071286043,-0.193209411829093,0.881825165591035
"Taurine",1,0.392056202601535,0.294664224747443,0.313279572651022,-0.00564586171409541,0.234844489693555,0.484223697929089
"Gluconate",2,0.224110779467671,0.544977958283863,0.230911262248466,0.0679248799604158,0.0930498350147527,-0.0660494785108961
"Glycine",3,0.235597946211222,0.203644392329314,0.560757661459464,0.435921843736944,0.0593699961287282,0.397556167920636
"N6-Acetyllysine",1,0.352770876863968,0.330725660944923,0.316503462191109,0.281710811980648,0.831922650099072,0.749295034499806
"Formate",3,0.319254972602561,0.254381086169738,0.426363941227701,0.0835106424314921,-0.0986390225815252,0.121249819650563
"Alanine",1,0.410250772040532,0.256382962359508,0.33336626559996,0.315030909452182,0.161697744282381,0.539245508609195
"Lactate",3,0.364182944995393,0.262446679143636,0.373370375860971,0.268890360886527,0.0431251396243167,0.416419148863627
"3-Hydroxyisobutyrate",3,0.300642714109231,0.246138789346937,0.453218496543832,0.979943458884126,0.478335628312761,1.03012909170452
"N-Acetylaspartate",1,0.352072595775739,0.331488176399394,0.316439227824866,0.332310923063958,0.41498836076711,0.401256272564514
"Acetate",2,0.233348281650681,0.527355675049498,0.239296043299821,0.306061879784701,0.387864373693538,0.0224219800565998
"2-Methylglutarate",3,0.259246633429951,0.219847031116912,0.520906335453136,0.958685552790771,0.683734661215788,0.949762303730174
"Trimethylamine",1,0.453340451957832,0.254800375608438,0.29185917243373,0.773847185399556,0.788853667259388,0.919009542822239
"Citrate",1,0.427118234775161,0.270339914176575,0.302541851048264,-0.389179261745722,-0.282543099157464,0.0851606125898032
"Lysine",2,0.274944007042475,0.447533105056699,0.277522887900827,0.645616917206351,0.661553784558738,0.624841650089098
"Methylguanidine",1,0.520127257613597,0.217296341129533,0.26257640125687,0.733532200647698,0.717794957181189,0.81460380225895
"2-Aminobutyrate",1,0.437884512240443,0.248557732110122,0.313557755649435,0.198593368217641,0.0867701203118689,0.438439727613484
