"Metabolite","HardCluster","Cluster_1","Cluster_2","6M","2Y"
"N-Phenylacetylglycine",2,0.0141339236752463,0.985866076324754,178899536916.27,382877743197.103
"4-Hydroxyphenylacetate",2,0.0136633442205708,0.986336655779429,99763384003.9879,99904119010.7914
"3-Methyl-2-oxovalerate",2,0.0146610943447809,0.985338905655219,51534455029.7954,105837866986.976
"Acetylsalicylate",2,0.0142199474283232,0.985780052571677,174710535433.56,395768315016.186
"1-Methylnicotinamide",1,0.985961635560882,0.0140383644391177,35884288409.9664,18777766099.6383
"Creatine",2,0.0144364087591298,0.98556359124087,734937400251.784,2348439534456.68
"Hippurate",2,0.0136633442205708,0.986336655779429,89977610658.3696,322497843105.652
"2-Hydroxyisobutyrate",2,0.0142199474283232,0.985780052571677,104517783512.387,171699597481.088
"N,N-Dimethylglycine",1,0.983765849714453,0.0162341502855473,162729196389.103,140768104879.129
"Trigonelline",2,0.0146100185413976,0.985389981458602,7008802341.16378,11971745662.6301
"Tyrosine",2,0.0144364087591298,0.98556359124087,67328573083.9463,67389005968.9554
"Valine",2,0.0154010241484542,0.984598975851546,8980625940.39733,13001506535.8936
"Sucrose",1,0.985961635560882,0.0140383644391177,17886267331.8823,3890019711.41147
"trans-Aconitate",1,0.985780052571677,0.0142199474283232,22022994860.5865,4361518523.92339
"Glutamine",2,0.0136633442205708,0.986336655779429,369342477568.949,435023760259.899
"Succinate",2,0.0151187216305667,0.984881278369433,232114764673.002,294775572583.81
"Taurine",2,0.0154010241484542,0.984598975851546,404948694574.239,495742504960.708
"Gluconate",2,0.0144364087591298,0.98556359124087,115219693646.394,118586366389.605
"Glycine",2,0.0149901553429108,0.985009844657089,260114582153.434,326517183825.474
"N6-Acetyllysine",2,0.0144364087591298,0.98556359124087,53238215170.9452,83502294004.8281
"Formate",2,0.0187737131244857,0.981226286875514,56551005713.8277,58444728989.0369
"Alanine",2,0.0136633442205708,0.986336655779429,143751879993.183,186572517030.426
"Lactate",2,0.0155057131447715,0.984494286855229,119537814709.433,144207601208.936
"3-Hydroxyisobutyrate",2,0.0136633442205708,0.986336655779429,64807238008.389,117514780478.23
"N-Acetylaspartate",2,0.0150240245763625,0.984975975423637,137163488508.626,180660069446.446
"Acetate",2,0.0136633442205708,0.986336655779429,186129799653.901,219684780934.652
"2-Methylglutarate",2,0.0141339236752463,0.985866076324754,7882099319.9846,14511813393.7093
"Trimethylamine",2,0.0136633442205708,0.986336655779429,38918490742.6962,70010222927.4552
"Citrate",1,0.985780052571677,0.0142199474283232,649378292593.842,579253161238.518
"Lysine",2,0.0146610943447809,0.985338905655219,334743515788.752,527598803757.336
"Methylguanidine",2,0.0146100185413976,0.985389981458602,112144012842.615,191446451258.978
"2-Aminobutyrate",2,0.0136633442205708,0.986336655779429,49118062559.1505,59045047902.5903
