"Metabolite","HardCluster","Cluster_1","Cluster_2","Cluster_3","Cluster_4","6M_0","6M_1","6M_2","2Y_0","2Y_1","2Y_2"
"N-Phenylacetylglycine",4,0.15035063705467,0.0738390142075085,0.369735922154864,0.406074426582958,115361657923.014,169787193920.965,267052864073.28,234800335840.08,341226905519.939,579303461311.208
"4-Hydroxyphenylacetate",1,0.539661307091696,0.136078037268779,0.1394800679749,0.184780587664625,69699915626.9408,94328997285.7496,142788359158.324,90454388403.0078,86148447812.7047,123244883711.859
"3-Methyl-2-oxovalerate",3,0.116052949579081,0.0613301710376941,0.559255767613971,0.263361111769254,35528154334.2709,55270315284.0686,66680643872.9933,81238355160.2191,90333177734.5389,146828761076.724
"Acetylsalicylate",3,0.14248906911034,0.0752933997794952,0.450597694410161,0.331619836700004,124660821003.486,172120622068.333,238778866239.282,243405363323.554,363784561622.773,587292445102.017
"1-Methylnicotinamide",2,0.235483423936899,0.468100149783787,0.135960439332763,0.160455986946551,25051769567.2815,35959951327.3835,49006096266.0207,13545959629.1951,19333047033.8615,23744262527.3084
"Creatine",3,0.122896164103017,0.0746192333171546,0.601883622172027,0.200600980407801,533079291315.711,778421056142.764,930198131081.944,1996645991467.8,2070675337444.42,2989203139956.91
"Hippurate",3,0.118927965384054,0.0679939093503981,0.570301094304051,0.242777030961497,64941946870.0922,90790473437.6755,119557263731.715,226695246798.996,256028273881.501,488063051357.225
"2-Hydroxyisobutyrate",3,0.0936625341050803,0.0516181966880468,0.68196858493975,0.172750684267123,83857064802.4701,110600111852.463,122593007297.075,143570724174.768,163742326092.656,209056807313.318
"N,N-Dimethylglycine",2,0.226126671198596,0.362358689422338,0.198349369196668,0.213165270182398,163240926174.452,176162919343.211,146377850265.577,127977645094.171,152391020861.718,142914696985.511
"Trigonelline",3,0.182462268187273,0.120532630048491,0.442298278817544,0.254706822946693,5462330589.85494,8448486407.45518,7209259716.37,10361708469.6995,12723097050.9696,12934942671.8057
"Tyrosine",1,0.54565871061993,0.127475050219105,0.13577520107354,0.191091038087426,54817297859.1878,64842156735.4337,85497152253.8616,63224079559.9283,57652869186.1197,81253061688.0607
"Valine",3,0.178671329905907,0.0970371251254436,0.468057945689853,0.256233599278796,7299078642.96798,9112751972.0626,10876609241.6543,12375369601.2485,12336111556.1699,14308482631.5668
"Sucrose",2,0.0736088360146886,0.819156845964913,0.050344353769716,0.056889964250682,13128180703.5644,19495666069.6458,21804637868.5468,4570863871.76072,2951425984.58457,4087235539.79634
"trans-Aconitate",2,0.0608513267673629,0.849474368530832,0.0420277940062989,0.0476465106955066,16355575358.3156,24908423319.7813,25556419472.1033,4468091833.59054,3086235220.27576,5491059309.40435
"Glutamine",4,0.247316965023672,0.0861017554354215,0.194316966573375,0.472264312967531,307309414441.101,366119725064.107,448765533096.385,352984431120.791,401522519552.059,554000577937.645
"Succinate",4,0.225455726587415,0.111949626212063,0.21530325954512,0.447291387655401,190931951291.008,245070146314.823,267170431753.301,181503207301.959,214352514113.788,492316303496.042
"Taurine",4,0.221129359004648,0.0919781055604335,0.201415487755618,0.485477047679301,365376007268.294,365888159392.81,498937476379.258,363948934188.985,430569825576.015,697930188331.828
"Gluconate",1,0.537396036613781,0.117837888914044,0.142687108214071,0.202078966258105,91941483024.8776,107818360118.796,152272731217.14,96373788357.4424,115001502243.584,145458553091.953
"Glycine",3,0.236969804559176,0.146173060053526,0.311947546214423,0.304909589172875,259527236929.435,239096537872.155,285437347682.734,351081943433.502,249141134211.416,375999379914.924
"N6-Acetyllysine",3,0.174240051361913,0.103159489316099,0.442010021466093,0.280590437855895,50435864085.5812,50443863027.6185,59927153150.1618,61311631131.3662,89792902381.3265,100735820452.408
"Formate",4,0.273761986520521,0.189854915063304,0.248614034487571,0.287769063928605,57624841884.5368,53554287760.5388,58749802133.8864,61058897051.7507,50015077177.2261,63900792002.9434
"Alanine",4,0.185141914959974,0.0867121321508189,0.256093053856755,0.472052899032452,132758364367.388,134238029480.111,168296772820.433,165156490752.692,150159024984.813,244570944840.875
"Lactate",4,0.154193597082018,0.0627358939511113,0.161848414447282,0.621222094519589,101896803051.514,121307790408.31,138979076888.699,122773496009.202,124988671742.498,185482985373.345
"3-Hydroxyisobutyrate",3,0.135444745065209,0.076235355483131,0.526907240475549,0.26141265897611,53144040347.7558,68680970513.7049,74495548320.0109,104820673139.216,95681901066.0842,152135328683.755
"N-Acetylaspartate",3,0.177896100335112,0.0857355856785779,0.396997745253912,0.339370568732399,119020904859.019,134883280456.229,161958102386.562,149850709450.882,179838248506.858,213891168777.691
"Acetate",1,0.347818607125827,0.133126342068123,0.235414946342221,0.283640104463829,141531873866.472,177041931276.718,251156969689.905,174979859332.783,231651410657.498,255090874732.795
"2-Methylglutarate",3,0.06223115833756,0.0350574596593443,0.78845900876749,0.114252373235605,6346579058.94649,8220785738.46449,9358174075.22536,12334819599.99,13204986795.5943,18075822232.6309
"Trimethylamine",3,0.076932529607372,0.0440936472002359,0.741456007480784,0.137517815711608,34580992691.2296,37838006739.6496,45473079394.3928,59127384847.0848,65372766810.6811,85981259757.3356
"Citrate",1,0.326210734956854,0.230464523609721,0.185381219175888,0.257943522257536,591936197422.676,662455487972.632,704119740895.705,451981091702.483,544631497759.244,746934327822.058
"Lysine",3,0.1048795678129,0.057202977645626,0.656530156608341,0.181387297933132,292680402946.337,320177032388.775,403093438845.329,457871595046.457,506451320548.995,621586836050.595
"Methylguanidine",3,0.0730928151593118,0.0416101745924727,0.756676649624943,0.128620360623273,98906905650.6638,109849193459.865,130973444305.287,164453003683.962,180665274568.026,230358068115.973
"2-Aminobutyrate",4,0.116586949037989,0.0518616791603323,0.151495472143814,0.680055899657865,43591436435.2247,49939482568.1077,54896188065.6469,50024613399.0718,53035228847.601,74391908038.7837
